County;Abbreviation;Zone;Locality
Albany;AL;F;NYCA
Allegany;AG;B;NYCA
Bronx;NY;J;NYC
Broome;BM;C;NYCA
Cattaraugus;CA;A;NYCA
Cayuga;CY;C;NYCA
Chautauqua;CH;A;NYCA
Chemung;CM;C;NYCA
Chenango;CN;E;NYCA
Clinton;CL;D;NYCA
Columbia;CO;F;NYCA
Cortland;CR;C;NYCA
Delaware;DE;E;NYCA
Dutchess;DU;G;GJ
Erie;ER;A;NYCA
Essex;ES;F;NYCA
Franklin;FR;E;NYCA
Fulton;FU;F;NYCA
Genesee;GE;A;NYCA
Greene;GR;G;GJ
Hamilton;HA;F;NYCA
Herkimer;HE;E;NYCA
Jefferson;JE;E;NYCA
Kings;NY;J;NYC
Lewis;LE;E;NYCA
Livingston;LI;A;NYCA
Madison;MA;E;NYCA
Monroe;MO;B;NYCA
Montgomery;MG;F;NYCA
Nassau;NA;K;LI
New York;NY;J;NYC
Niagara;NI;A;NYCA
Oneida;ON;E;NYCA
Onondaga;OD;C;NYCA
Ontario;OT;B;NYCA
Orange;OR;G;GJ
Orleans;OL;A;NYCA
Oswego;OS;C;NYCA
Otsego;OG;E;NYCA
Putnam;PU;G;GJ
Queens;NY;J;NYC
Rensselaer;RE;F;NYCA
Richmond;NY;J;NYC
Rockland;RO;G;GJ
Saratoga;SA;F;NYCA
Schenectady;SC;F;NYCA
Schoharie;SH;F;NYCA
Schuyler;SY;C;NYCA
Seneca;SE;C;NYCA
St Lawrence;SL;E;NYCA
Steuben;ST;C;NYCA
Suffolk;SU;K;LI
Sullivan;SV;E;NYCA
Tioga;TI;C;NYCA
Tompkins;TO;C;NYCA
Ulster;UL;G;GJ
Warren;WR;F;NYCA
Washington;WS;F;NYCA
Wayne;WA;B;NYCA
Westchester;WE;HI;GJ
Wyoming;WY;A;NYCA
Yates;YA;C;NYCA
