Date,NYCA,GHIJ,NYC,LI
May-23,5.7,5.7,18.58,5.7
Apr-23,1.1,1.1,1.1,1.1
Mar-23,1.14,1.14,1.14,1.14
Feb-23,3.8,3.8,3.8,3.8
Jan-23,4.39,4.39,4.39,4.39
Dec-22,2.06,2.06,2.06,2.06
Nov-22,1.54,1.54,1.54,1.54
Oct-22,2.92,3.18,3.27,6.48
Sep-22,2.95,3.12,3.21,6.43
Aug-22,3.47,3.74,4.41,6.71
Jul-22,3.32,3.32,3.55,6.71
Jun-22,3.33,3.33,3.51,6.74
May-22,2.72,3.46,3.7,5.93
Apr-22,0.76,0.76,0.76,1.81
Mar-22,0.89,0.89,0.89,1.8
Feb-22,2.95,2.95,2.95,2.95
Jan-22,3.82,3.82,3.82,3.82
Dec-21,2.95,2.95,2.95,2.95
Nov-21,1.65,1.65,1.65,1.65
Oct-21,4.21,4.21,5.07,9.28
Sep-21,4.65,4.65,5.08,9.3
Aug-21,5.43,5.43,5.43,10.56
Jul-21,5.5,5.5,5.5,9.29
Jun-21,5.32,5.32,5.32,9.34
May-21,5.35,5.35,5.35,9.53
Apr-21,0.89,0.89,8.44,0.89
Mar-21,0.89,0.89,8.71,0.89
Feb-21,0.89,0.89,8.76,0.89
Jan-21,0.06,0.06,8.56,0.06
Dec-20,0.1,0.1,8.57,0.1
Nov-20,0.1,0.1,8.54,0.1
Oct-20,2.03,2.03,18.15,5.21
Sep-20,2.78,2.78,18.62,5.18
Aug-20,2.37,2.37,18.72,5.17
Jul-20,2.69,2.69,19.03,5.32
Jun-20,3.35,3.35,19.15,6.28
May-20,3.15,3.15,19.17,6.3
Apr-20,0.1,0.1,3.49,0.1
Mar-20,0.01,0.01,3.72,0.01
Feb-20,0.01,0.01,3.71,0.01
Jan-20,0.09,0.09,3.71,0.09
Dec-19,0.03,0.03,3.99,0.03
Nov-19,0.1,0.1,4.01,0.1
Oct-19,0.75,4.51,13.09,5.52
Sep-19,1.35,4.79,13.34,5.53
Aug-19,1.36,4.78,13.39,5.51
Jul-19,1.39,4.83,13.46,5.94
Jun-19,1.8,5.21,13.79,5.94
May-19,1.14,5.43,13.92,5.98
Apr-19,0.26,1.45,1.45,0.41
Mar-19,1.09,1.54,1.54,1.09
Feb-19,0.84,1.51,1.51,0.84
Jan-19,0.13,1.52,1.52,0.43
Dec-18,0.1,1.52,1.52,1.95
Nov-18,0.1,1.59,1.59,0.67
Oct-18,2.52,8.84,8.84,6.57
Sep-18,2.87,9.32,9.32,6.63
Aug-18,3.88,9.58,9.58,6.68
Jul-18,4.22,10.16,10.16,6.68
Jun-18,4.33,10.24,10.24,6.8
May-18,2.7,11.86,11.86,6.81
Apr-18,0.25,4.71,4.71,0.7
Mar-18,0.15,3.12,3.12,0.7
Feb-18,0.2,3.33,3.33,0.71
Jan-18,0.44,3.19,3.19,0.7
Dec-17,0.25,3.38,3.38,0.68
Nov-17,0.25,3.47,3.47,0.9
Oct-17,1.84,9.47,9.55,6.6
Sep-17,2.18,9.9,10.19,6.59
Aug-17,2.18,9.69,9.85,6.67
Jul-17,2.26,9.75,9.86,6.69
Jun-17,3.89,10.01,10.24,6.69
May-17,1.72,10.28,10.57,6.71
Apr-17,0.35,3.25,3.25,0.35
Mar-17,0.71,3.3,3.3,0.71
Feb-17,0.54,3.47,3.47,0.54
Jan-17,0.32,3.53,3.53,0.32
Dec-16,0.55,3.63,3.63,0.55
Nov-16,0.35,3.69,3.69,0.35
Oct-16,3.12,9.16,12.14,4.34
Sep-16,3.32,9.15,12.19,4.46
Aug-16,3.64,9.23,12.21,4.42
Jul-16,4.27,9.25,12.22,4.37
Jun-16,4.89,9.28,12.29,4.89
May-16,5.27,9.36,12.41,5.27
Apr-16,0.58,3.03,5.65,1.6
Mar-16,0.54,3.14,5.81,1.52
Feb-16,1.46,3.15,5.84,1.53
Jan-16,1.37,3.16,5.85,1.55
Dec-15,1.28,3.48,6.29,1.85
Nov-15,0.46,3.46,6.36,1.82
Oct-15,2.96,8.13,15.01,5.61
Sep-15,3.48,8.27,15.26,5.62
Aug-15,3.58,8.32,15.32,5.77
Jul-15,3.98,8.36,15.26,5.77
Jun-15,4.88,10.56,15.41,5.77
May-15,4.07,10.93,16.04,5.78
Apr-15,0.75,2.82,7.3,2.92
Mar-15,0.72,2.93,7.28,2.87
Feb-15,3.36,4.21,8.94,3.36
Jan-15,2.41,3.76,8.8,3.2
Dec-14,3.5,4.76,8.87,3.5
Nov-14,1.43,5.76,8.96,2.99
Oct-14,5.39,11.64,17.94,6.51
Sep-14,5.6,12.04,18.17,6.47
Aug-14,5.8,12.25,18.56,6.47
Jul-14,6.1,12.32,18.69,6.46
Jun-14,6.21,12.35,18.84,6.44
May-14,6.68,12.38,18.83,6.68
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
