Date,NYC,LI,GJ,NYCA
2006-02-01,6898.4,3134.4,9664.099999999999,22674.1
2006-03-01,7591.366666666666,3357.0,10579.033333333333,24052.166666666664
2006-04-01,8284.333333333332,3579.6,11493.966666666665,25430.233333333337
2006-05-01,8977.3,3802.2,12408.9,26808.3
2006-06-01,9826.7,4199.2,13714.0,28780.5
2006-07-01,11057.7,5381.7,15474.300000000001,32938.100000000006
2006-08-01,11346.5,5747.7,16013.4,34506.700000000004
2006-09-01,8467.7,3512.4,11394.0,24226.3
2006-10-01,7849.3,3183.0,10674.1,23093.7
2006-11-01,7285.6,3071.1,10337.900000000001,22884.2
2006-12-01,7470.0,3405.4,10705.3,24365.999999999996
2007-01-01,7464.5,3359.2,10432.1,24417.6
2007-02-01,7679.7,3505.5,10793.0,25108.4
2007-03-01,7517.4,3454.3,10627.3,24595.7
2007-04-01,7139.7,2845.1,10005.099999999999,21885.8
2007-05-01,9034.1,3786.8,12471.1,26313.0
2007-06-01,10550.3,4884.7,14660.699999999999,31464.6
2007-07-01,10761.7,5005.9,15051.300000000001,31941.4
2007-08-01,10970.8,5396.0,15320.699999999999,32798.899999999994
2007-09-01,9657.1,4205.4,13314.3,29044.000000000004
2007-10-01,8866.6,4049.2,12464.6,26250.200000000004
2007-11-01,7170.1,3125.6,10027.4,22887.600000000002
2007-12-01,7663.4,3558.4,10816.099999999999,25006.7
2008-01-01,7761.4,3596.3,10939.699999999999,25167.7
2008-02-01,7522.9,3372.3,10557.4,24428.399999999994
2008-03-01,6938.3,3013.3,9695.9,22349.300000000003
2008-04-01,7080.1,2771.3,9726.0,21344.000000000004
2008-05-01,8230.4,3027.7,11086.0,22948.5
2008-06-01,11261.6,5280.9,15710.4,32999.799999999996
2008-07-01,10518.7,5209.0,14688.0,31687.9
2008-08-01,9789.0,4635.2,13549.9,28753.2
2008-09-01,9974.2,4512.5,13737.5,29264.2
2008-10-01,7530.2,3042.4,10137.7,22412.399999999998
2008-11-01,7275.3,3125.0,10072.8,22893.4
2008-12-01,7692.1,3632.9,10784.3,24973.000000000004
2009-01-01,7666.6,3419.6,10708.900000000001,24531.3
2009-02-01,7483.2,3361.6,10489.0,24123.9
2009-03-01,7374.9,3268.2,10318.0,23679.8
2009-04-01,8339.6,3039.7,11398.6,23399.800000000003
