Date,coal,petroleum,natural gas
2008-01-01,1.88,14.61,8.19
2008-02-01,1.89,15.03,8.58
2008-03-01,1.93,14.67,9.25
2008-04-01,1.97,14.65,9.89
2008-05-01,2.04,17.13,10.73
2008-06-01,2.08,18.34,12.04
2008-07-01,2.1,20.08,11.51
2008-08-01,2.18,19.33,8.79
2008-09-01,2.19,16.64,7.68
2008-10-01,2.21,15.55,6.69
2008-11-01,2.17,11.69,6.45
2008-12-01,2.16,8.35,6.68
2009-01-01,2.23,8.12,6.38
2009-02-01,2.27,8.08,5.38
2009-03-01,2.29,8.27,4.73
2009-04-01,2.22,9.12,4.48
2009-05-01,2.23,9.36,4.47
2009-06-01,2.22,10.58,4.44
2009-07-01,2.19,11.36,4.32
2009-08-01,2.21,12.17,4.15
2009-09-01,2.18,13.31,3.84
2009-10-01,2.17,12.86,4.82
2009-11-01,2.13,12.78,4.87
2009-12-01,2.14,13.22,5.96
2010-01-01,2.23,13.38,6.71
2010-02-01,2.27,13.6,6.07
2010-03-01,2.31,13.85,5.29
2010-04-01,2.29,14.82,4.71
2010-05-01,2.26,13.77,4.79
2010-06-01,2.25,13.3,5.12
2010-07-01,2.27,13.33,5.18
2010-08-01,2.3,13.29,4.92
2010-09-01,2.28,13.41,4.45
2010-10-01,2.27,14.93,4.3
2010-11-01,2.26,15.77,4.35
2010-12-01,2.23,16.45,5.43
2011-01-01,2.33,16.79,5.39
2011-02-01,2.35,17.98,5.09
2011-03-01,2.34,19.48,4.64
2011-04-01,2.38,20.17,4.86
2011-05-01,2.43,19.03,4.89
2011-06-01,2.4,21.43,5.04
2011-07-01,2.44,21.34,4.98
2011-08-01,2.47,19.26,4.73
2011-09-01,2.44,20.88,4.56
2011-10-01,2.39,20.99,4.33
2011-11-01,2.37,21.12,4.1
2011-12-01,2.34,21.73,4.04
2012-01-01,2.37,21.66,3.69
2012-02-01,2.38,22.16,3.34
2012-03-01,2.39,22.29,2.99
2012-04-01,2.42,23.58,2.71
2012-05-01,2.42,23.02,2.94
2012-06-01,2.36,22.01,3.11
2012-07-01,2.4,20.43,3.43
2012-08-01,2.4,21.12,3.5
2012-09-01,2.38,21.91,3.41
2012-10-01,2.36,22.23,3.84
2012-11-01,2.36,22.3,4.25
2012-12-01,2.36,20.63,4.21
2013-01-01,2.34,21.0,4.38
2013-02-01,2.34,21.02,4.39
2013-03-01,2.35,20.15,4.3
2013-04-01,2.37,21.53,4.67
2013-05-01,2.37,20.7,4.62
2013-06-01,2.36,20.96,4.42
2013-07-01,2.31,20.51,4.2
2013-08-01,2.33,19.7,3.91
2013-09-01,2.35,20.17,4.08
2013-10-01,2.34,20.86,4.11
2013-11-01,2.33,20.1,4.19
2013-12-01,2.34,20.95,4.91
2014-01-01,2.29,21.85,7.02
2014-02-01,2.32,21.6,7.4
2014-03-01,2.36,21.94,6.0
2014-04-01,2.39,21.71,5.07
2014-05-01,2.4,21.18,4.93
2014-06-01,2.38,21.41,4.84
2014-07-01,2.38,21.29,4.43
2014-08-01,2.37,20.62,4.12
2014-09-01,2.37,19.67,4.2
2014-10-01,2.31,18.49,4.1
2014-11-01,2.3,16.53,4.48
2014-12-01,2.51,13.87,4.36
2015-01-01,2.29,12.76,4.11
2015-02-01,2.26,12.61,4.7
2015-03-01,2.26,12.54,3.55
2015-04-01,2.23,13.18,3.1
2015-05-01,2.26,12.71,3.14
2015-06-01,2.25,13.57,3.12
2015-07-01,2.21,12.57,3.11
2015-08-01,2.23,12.08,3.11
2015-09-01,2.22,9.67,3.06
2015-10-01,2.15,9.1,2.92
2015-11-01,2.15,8.96,2.65
2015-12-01,2.16,8.83,2.59
2016-01-01,2.12,7.96,3.02
2016-02-01,2.11,7.0,2.7
2016-03-01,2.17,6.92,2.23
2016-04-01,2.16,8.37,2.42
2016-05-01,2.16,9.82,2.39
2016-06-01,2.1,10.41,2.67
2016-07-01,2.11,11.83,2.97
2016-08-01,2.11,9.46,2.96
2016-09-01,2.12,9.4,3.07
2016-10-01,2.07,10.01,3.13
2016-11-01,2.08,10.09,3.02
2016-12-01,2.08,10.78,3.96
2017-01-01,2.09,11.97,4.11
2017-02-01,2.06,11.67,3.56
2017-03-01,2.07,11.62,3.35
2017-04-01,2.08,11.62,3.38
2017-05-01,2.09,11.44,3.48
2017-06-01,2.07,10.91,3.29
2017-07-01,2.06,10.9,3.21
2017-08-01,2.05,11.12,3.13
2017-09-01,2.02,11.68,3.16
2017-10-01,2.03,11.93,3.13
2017-11-01,2.04,12.29,3.35
2017-12-01,2.04,13.99,3.63
2018-01-01,2.06,14.02,5.06
2018-02-01,2.07,12.79,3.61
2018-03-01,2.04,13.56,3.18
2018-04-01,2.07,13.9,3.14
2018-05-01,2.04,14.4,3.06
2018-06-01,2.04,14.96,3.13
2018-07-01,2.05,14.74,3.23
2018-08-01,2.06,15.41,3.27
2018-09-01,2.05,15.42,3.12
2018-10-01,2.04,15.77,3.43
2018-11-01,2.06,15.87,4.18
2018-12-01,2.11,13.96,4.72
2019-01-01,2.1,12.46,4.0
2019-02-01,2.07,13.25,3.63
2019-03-01,2.08,14.44,3.46
2019-04-01,2.07,14.87,2.89
2019-05-01,2.05,14.51,2.76
2019-06-01,2.03,13.7,2.58
2019-07-01,2.02,13.8,2.54
2019-08-01,2.0,14.25,2.41
2019-09-01,1.96,12.64,2.59
2019-10-01,1.96,13.72,2.49
2019-11-01,1.96,13.02,2.96
2019-12-01,1.91,13.64,2.91
2020-01-01,1.94,13.94,2.62
2020-02-01,1.9,13.1,2.4
2020-03-01,1.93,10.51,2.14
2020-04-01,1.92,8.52,2.1
2020-05-01,1.89,6.64,2.17
2020-06-01,1.9,7.39,2.03
2020-07-01,1.91,8.7,2.06
2020-08-01,1.94,10.09,2.41
2020-09-01,1.94,9.66,2.42
2020-10-01,1.91,9.24,2.5
2020-11-01,1.91,9.53,2.99
2020-12-01,1.92,10.16,3.17
2021-01-01,1.9,11.16,3.2
2021-02-01,1.93,12.35,17.12
2021-03-01,1.89,13.34,3.29
2021-04-01,1.9,13.82,3.06
2021-05-01,1.89,14.32,3.26
2021-06-01,1.95,14.89,3.53
2021-07-01,2.01,15.06,4.08
2021-08-01,2.06,15.21,4.42
2021-09-01,2.01,14.67,5.04
2021-10-01,2.03,16.43,5.69
2021-11-01,2.04,17.71,5.77
2021-12-01,2.07,17.19,5.64
2022-01-01,2.2,17.61,6.57
2022-02-01,2.18,18.33,6.03
2022-03-01,2.16,22.36,5.11
2022-04-01,2.19,26.45,6.23
2022-05-01,2.24,28.06,7.56
2022-06-01,2.32,28.69,8.01
2022-07-01,2.48,29.24,7.49
2022-08-01,2.51,26.24,9.02
2022-09-01,2.52,24.34,8.2
2022-10-01,2.47,23.24,5.84
2022-11-01,2.49,26.03,5.72
2022-12-01,2.65,21.37,8.98
2023-01-01,2.59,21.84,7.1
2023-02-01,2.6,20.13,4.39
2023-03-01,2.51,20.48,3.35
