Date,Forecast (MW)
2006-04-01,6520
2006-05-01,8389
2006-06-01,9355
2006-07-01,10182
2006-08-01,10293
2006-09-01,8611
2006-10-01,6758
2006-11-01,7110
2006-12-01,7318
2007-01-01,7345
2007-02-01,7643
2007-03-01,6958
2007-04-01,6736
2007-05-01,7584
2007-06-01,9499
2007-07-01,10012
2007-08-01,10030
2007-09-01,8606
2007-10-01,7390
2007-11-01,7200
2007-12-01,7630
2008-01-01,7281
2008-02-01,7269
2008-03-01,6800
2008-04-01,6618
2008-05-01,7313
2008-06-01,9628
2008-07-01,10257
2008-08-01,10762
2008-09-01,9287
2008-10-01,7135
2008-11-01,7203
2008-12-01,7614
2009-01-01,7581
2009-02-01,7206
2009-03-01,6967
2009-04-01,6748
2009-05-01,7252
2009-06-01,9083
2009-07-01,9239
2009-08-01,9571
2009-09-01,8348
2009-10-01,6804
2009-11-01,7038
2009-12-01,7500
2010-01-01,7392
2010-02-01,7317
2010-03-01,6969
2010-04-01,6701
2010-05-01,8050
2010-06-01,9536
2010-07-01,10471
2010-08-01,9976
2010-09-01,9527
2010-10-01,6835
2010-11-01,6962
2010-12-01,7568
2011-01-01,7458
2011-02-01,7467
2011-03-01,6825
2011-04-01,6708
2011-05-01,7717
2011-06-01,10132
2011-07-01,10458
2011-08-01,10134
2011-09-01,8237
2011-10-01,7256
2011-11-01,6848
2011-12-01,7093
2012-01-01,7174
2012-02-01,7075
2012-03-01,6687
2012-04-01,6568
2012-05-01,8486
2012-06-01,9355
2012-07-01,10582
2012-08-01,9016
2012-09-01,8947
2012-10-01,6975
2012-12-01,7012
2013-01-01,7066
2013-02-01,7036
2013-03-01,6862
2013-04-01,6531
2013-05-01,7974
2013-06-01,9841
2013-07-01,10936
2013-08-01,9499
2013-09-01,9399
2013-10-01,7316
2013-11-01,7015
2013-12-01,7442
2014-01-01,7624
2014-02-01,7451
2014-03-01,7200
2014-04-01,6517
2014-05-01,7775
2014-06-01,9401
2014-07-01,10557
2014-08-01,9069
2014-09-01,9013
2014-10-01,7001
2014-11-01,6928
2014-12-01,7221
2015-01-01,7240
2015-02-01,7646
2015-03-01,7052
2015-04-01,6382
2015-05-01,8863
2015-06-01,9637
2015-07-01,10385
2015-08-01,10307
2015-09-01,9993
2015-10-01,6855
2015-11-01,6876
2015-12-01,6912
2016-01-01,7011
2016-02-01,6869
2016-03-01,6605
2016-04-01,6461
2016-05-01,8061
2016-06-01,9515
2016-07-01,10488
2016-08-01,10521
2016-09-01,10065
2016-10-01,6884
2016-11-01,6680
2016-12-01,7326
2017-01-01,7139
2017-02-01,6846
2017-03-01,6646
2017-04-01,7015
2017-05-01,8281
2017-06-01,9912
2017-07-01,10066
2017-08-01,9763
2017-09-01,8313
2017-10-01,7778
2017-11-01,6827
2017-12-01,7163
2018-01-01,7490
2018-02-01,6968
2018-03-01,6415
2018-04-01,6233
2018-05-01,7710
2018-06-01,9549
2018-07-01,10385
2018-08-01,10463
2018-09-01,9959
2018-10-01,7788
2018-11-01,6721
2018-12-01,6984
2019-01-01,7402
2019-02-01,7317
2019-03-01,6873
2019-04-01,6208
2019-05-01,8166
2019-06-01,9153
2019-07-01,10646
2019-08-01,10106
2019-09-01,9001
2019-10-01,8340
2019-11-01,6684
2019-12-01,6974
2020-01-01,6836
2020-07-01,9622
2020-08-01,9525
2020-09-01,8731
2020-10-01,5991
2020-11-01,6354
2020-12-01,6429
2021-01-01,6414
2021-02-01,6735
2021-03-01,5993
2021-04-01,5967
2021-05-01,7315
2021-06-01,9207
2021-07-01,9634
2021-08-01,10069
2021-09-01,8500
2021-10-01,6660
2021-11-01,6370
2021-12-01,6382
2022-01-01,7015
2022-02-01,6673
2022-03-01,6473
2022-04-01,5764
2022-05-01,7280
2022-06-01,8097
2022-07-01,9793
2022-08-01,10445
2022-09-01,8456
2022-10-01,5919
2022-11-01,6295
2022-12-01,6531
2023-01-01,6394
2023-02-01,6552
2023-03-01,5950
2023-04-01,5653
2023-05-01,6708
2023-06-01,7697
