Gas (GJ),Coal (GJ),Oil (GJ),Renewables (GJ),Others (GJ),Sum (GJ)
11954.7,386.5,2083.3,91.3,1299.0,14515.8
11597.9,386.5,2018.8,89.5,1299.0,14092.699999999999
11666.1,0.0,1779.5,89.5,1299.0,13535.1
12652.2,386.5,1174.1,91.5,2311.0,14304.3
13587.599999999999,0.0,672.4,93.9,2311.0,14353.899999999998
13557.4,0.0,574.0,106.3,2311.0,14237.7
13591.8,0.0,674.6999999999999,106.3,2311.0,14372.8
13524.8,0.0,541.9,106.3,2311.0,14173.0
13526.599999999999,0.0,541.9,106.3,2311.0,14174.8
13534.3,0.0,552.6,106.3,2311.0,14193.2
13555.900000000001,0.0,531.0,106.3,2311.0,14193.2
13555.900000000001,0.0,531.0,106.3,2311.0,14193.2
13556.0,0.0,532.6,106.3,2311.0,14194.9
13557.4,0.0,574.0,106.3,2311.0,14237.7
13557.4,0.0,574.0,106.3,2311.0,14237.7
13557.4,0.0,574.0,106.3,2311.0,14237.7
13557.4,0.0,583.0,106.3,2311.0,14246.7
13558.3,0.0,588.3,106.3,2311.0,14252.900000000001
13558.3,0.0,588.3,106.3,2311.0,14252.900000000001
13533.3,0.0,588.3,106.3,2311.0,14227.900000000001
13533.3,0.0,588.3,106.3,2311.0,14227.900000000001
13533.3,0.0,588.3,106.3,2311.0,14227.900000000001
14303.3,0.0,588.3,106.3,2311.0,14997.900000000001
14311.0,0.0,604.9,106.3,2311.0,15022.2
14123.0,0.0,604.9,108.3,2499.0,14836.2
14123.0,0.0,604.9,108.3,2499.0,14836.2
14123.0,0.0,604.9,108.3,2499.0,14836.2
14123.0,0.0,607.4,108.3,2499.0,14838.7
14123.0,0.0,625.9,108.3,2499.0,14857.2
14123.0,0.0,643.6,112.1,2499.0,14878.7
14312.6,0.0,680.2,112.1,2311.0,15104.900000000001
14315.3,0.0,680.2,112.1,2311.0,15107.6
14317.7,0.0,682.8000000000001,116.3,2311.0,15116.800000000003
14317.7,0.0,683.8000000000001,115.60000000000001,2311.0,15117.100000000002
14317.7,0.0,683.8000000000001,123.8,2311.0,15125.300000000003
14216.3,0.0,683.8000000000001,123.8,2311.0,15023.900000000001
14216.3,0.0,683.8000000000001,125.8,2311.0,15025.900000000001
14216.3,0.0,683.8000000000001,127.8,2311.0,15027.900000000001
14216.3,0.0,683.8000000000001,129.79999999999998,2311.0,15029.900000000001
14229.1,0.0,683.8000000000001,129.79999999999998,2311.0,15042.700000000003
14229.1,0.0,683.8000000000001,139.39999999999998,2311.0,15052.300000000003
14226.1,0.0,686.8000000000001,149.39999999999998,2311.0,15062.300000000003
13929.699999999999,0.0,687.4000000000001,149.39999999999998,2311.0,14766.5
13929.699999999999,0.0,711.6999999999999,146.39999999999998,2311.0,14787.8
13933.6,0.0,714.4,146.39999999999998,2311.0,14794.400000000001
15529.0,0.0,713.6,146.39999999999998,1012.0,16389.0
15244.6,0.0,713.6,156.29999999999998,1012.0,16114.500000000002
15244.6,0.0,713.6,160.29999999999998,1016.0,16118.500000000002
15244.6,0.0,713.6,162.29999999999998,1016.0,16120.500000000002
15244.6,0.0,714.8,162.29999999999998,1016.0,16121.7
15244.6,0.0,714.8,168.29999999999998,1016.0,16127.7
15244.6,0.0,714.8,177.29999999999998,1019.0,16136.7
15244.6,0.0,714.8,177.29999999999998,1019.0,16136.7
15244.6,0.0,721.8,178.29999999999998,1024.1,16144.7
15244.300000000001,0.0,716.1,178.29999999999998,1027.1,16138.700000000003
15244.300000000001,0.0,716.1,180.1,1027.1,16140.500000000002
15244.300000000001,0.0,716.1,190.0,1027.1,16150.400000000001
15244.300000000001,0.0,716.1,190.0,15.1,16150.400000000001
15244.300000000001,0.0,716.1,190.0,15.1,16150.400000000001
15251.800000000001,0.0,716.1,189.9,17.1,16157.800000000003
15251.800000000001,0.0,716.1,189.9,17.1,16157.800000000003
15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
15251.800000000001,0.0,716.1,190.9,17.1,16158.800000000003
15251.800000000001,0.0,716.1,196.9,17.1,16164.800000000003
15251.800000000001,0.0,716.1,210.6,21.6,16178.500000000002
15252.1,0.0,734.1,206.7,21.6,16192.900000000001
15252.1,0.0,736.3,206.7,21.6,16195.1
15259.6,0.0,736.0,206.7,21.6,16202.300000000001
15259.6,0.0,734.8000000000001,213.7,21.6,16208.100000000002
15259.3,0.0,734.8000000000001,212.89999999999998,21.6,16207.0
15259.3,0.0,734.8000000000001,212.89999999999998,21.6,16207.0
15319.8,0.0,654.3000000000001,219.7,21.6,16193.800000000001
15324.8,0.0,654.3000000000001,223.7,21.6,16202.800000000001
15324.8,0.0,654.3000000000001,228.29999999999998,21.6,16207.400000000001
15324.8,0.0,654.3000000000001,238.89999999999998,21.6,16218.0
15324.8,0.0,621.7,239.39999999999998,22.3,16185.900000000001
15324.8,0.0,621.7,239.39999999999998,22.3,16185.900000000001
15330.0,0.0,622.3000000000001,260.2,32.3,16212.5
15286.599999999999,0.0,621.9,265.2,32.3,16173.7
15296.599999999999,0.0,622.1,271.9,32.3,16190.6
