Date,Gas (LI),Coal (LI),Oil (LI),Renewables (LI),Others (LI),Sum (LI)
2011-01-01,4136.7,0.0,1292.9,110.1,0.0,5539.700000000001
2012-01-01,3913.1,0.0,1298.8,108.8,0.0,5320.7
2013-01-01,3973.1,0.0,1291.2,120.8,0.0,5385.1
2014-01-01,3969.2,0.0,1287.8,120.8,0.0,5377.8
2015-01-01,3969.2,0.0,1287.5,130.29999999999998,0.0,5387.0
2016-01-01,4104.0,0.0,1341.5,199.3,0.0,5644.8
2017-01-01,4106.2,0.0,1338.9,199.3,0.0,5644.400000000001
2017-02-01,4106.2,0.0,1338.9,199.3,0.0,5644.400000000001
2017-03-01,4106.2,0.0,1338.9,199.3,0.0,5644.400000000001
2017-04-01,4106.2,0.0,1338.9,199.3,0.0,5644.400000000001
2017-05-01,4106.2,0.0,1338.9,199.3,0.0,5644.400000000001
2017-06-01,4104.0,0.0,1338.9,199.3,0.0,5642.2
2017-07-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2017-08-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2017-09-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2017-10-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2017-11-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2017-12-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-01-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-02-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-03-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-04-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-05-01,4104.0,0.0,1338.9,201.1,0.0,5644.0
2018-06-01,4104.0,0.0,1338.9,211.3,0.0,5654.2
2018-07-01,4048.0,0.0,1338.9,236.2,56.0,5623.099999999999
2018-08-01,4048.0,0.0,1338.9,236.2,56.0,5623.099999999999
2018-09-01,4048.0,0.0,1338.9,236.2,56.0,5623.099999999999
2018-10-01,4048.0,0.0,1338.9,236.2,56.0,5623.099999999999
2018-11-01,4048.0,0.0,1338.9,236.2,56.0,5623.099999999999
2018-12-01,4048.0,0.0,1341.1,239.7,56.0,5628.8
2019-01-01,4104.0,0.0,1344.0,239.7,0.0,5687.7
2019-02-01,4105.0,0.0,1344.0,243.7,0.0,5692.7
2019-03-01,4105.0,0.0,1344.0,243.7,0.0,5692.7
2019-04-01,4105.0,0.0,1344.0,243.7,0.0,5692.7
2019-05-01,4105.0,0.0,1344.0,243.7,10.0,5692.7
2019-06-01,4105.0,0.0,1344.0,263.7,10.0,5712.7
2019-07-01,4105.0,0.0,1344.0,263.7,10.0,5712.7
2019-08-01,4105.0,0.0,1344.0,263.7,10.0,5712.7
2019-09-01,4105.0,0.0,1344.0,263.7,10.0,5712.7
2019-10-01,4105.0,0.0,1344.0,263.7,10.0,5712.7
2019-11-01,4105.0,0.0,1290.0,263.7,10.0,5658.7
2019-12-01,4105.0,0.0,1290.0,263.7,10.0,5658.7
