Date,Gas (NYCA),Coal (NYCA),Oil (NYCA),Renewables (NYCA),Others (NYCA),Sum (NYCA)
2004-01-01,17021.300000000003,4246.3,8225.1,6375.900000000001,5611.200000000001,35868.600000000006
2005-01-01,19196.7,4278.799999999999,8209.2,6515.3,5611.200000000001,38200.0
2006-01-01,19512.2,4314.0,8240.2,6711.499999999999,5611.200000000001,38777.9
2007-01-01,19512.2,4314.0,8240.199999999999,6785.7,5708.1,38852.1
2008-01-01,19605.2,4258.0,8240.2,7123.499999999999,5708.1,39226.9
2009-01-01,18875.6,2950.3,7906.6,7663.5,5708.1,37396.0
2010-01-01,19397.7,2950.3,7024.700000000001,7678.7,5790.5,37051.4
2011-01-01,21075.8,2819.8,5256.8,7645.6,4724.1,36798.0
2012-01-01,20467.5,2299.6,5200.3,7894.2,4724.1,35861.6
2013-01-01,20643.699999999997,1716.0,4924.4,8086.2,4716.1,35370.299999999996
2014-01-01,21678.2,2102.5,4315.6,8108.0,5728.1,36204.3
2015-01-01,22613.6,1718.5,3773.5,8163.4,5728.1,36269.0
2016-01-01,22810.2,1210.0,3734.7,8394.999999999998,5728.1,36149.9
2017-01-01,22958.8,1206.5,3832.8,8376.9,5728.1,36375.0
2017-02-01,22779.8,1318.5,3700.0,8387.3,5728.1,36185.6
2017-03-01,22893.6,1110.5,3700.0,8387.3,5728.1,36091.4
2017-04-01,22901.3,1110.5,3710.7000000000003,8393.099999999999,5728.1,36115.6
2017-05-01,22922.9,1110.5,3689.1,8395.099999999999,5728.1,36117.6
2017-06-01,22920.7,1098.0,3689.1,8396.699999999999,5728.1,36104.5
2017-07-01,22920.8,1098.0,3690.7000000000003,8399.7,5728.1,36109.2
2017-08-01,22922.2,1098.0,3734.6,8396.1,5728.1,36150.9
2017-09-01,22922.2,1098.0,3734.6,8396.1,5728.1,36150.9
2017-10-01,22922.2,1098.0,3734.6,8400.1,5728.1,36154.9
2017-11-01,22922.2,1098.0,3743.6,8402.1,5728.1,36165.9
2017-12-01,22923.1,1098.0,3748.9,8405.5,5728.1,36175.5
2018-01-01,22923.1,1098.0,3748.9,8391.0,5729.4,36161.0
2018-02-01,22891.1,1098.0,3748.9,8398.3,5730.4,36136.3
2018-03-01,22891.1,1098.0,3748.9,8402.3,5730.4,36140.3
2018-04-01,22891.1,1098.0,3748.9,8404.1,5730.4,36142.100000000006
2018-05-01,23613.4,1098.0,3748.9,8420.6,5730.4,36880.9
2018-06-01,23621.1,1098.0,3765.5,8444.8,5730.4,36929.4
2018-07-01,23377.1,1098.0,3765.5,8487.0,5974.4,36727.6
2018-08-01,23377.1,1098.0,3765.5,8571.7,5974.4,36812.3
2018-09-01,23377.1,1098.0,3765.5,8573.2,5974.4,36813.8
2018-10-01,23377.1,1098.0,3768.0,8573.2,5974.4,36816.3
2018-11-01,23377.1,1098.0,3786.5,8575.0,5974.4,36836.6
2018-12-01,23384.1,1098.0,3806.4,8668.000000000002,5974.4,36956.5
2019-01-01,23630.9,930.8,3845.9,8674.7,5730.4,37082.3
2019-02-01,23634.6,930.8,3845.9,8688.2,5730.4,37099.5
