Date,Gas (NYC),Coal (NYC),Oil (NYC),Renewables (NYC),Others (NYC),Sum (NYC)
2011-01-01,8124.3,0.0,1800.8,0.0,0.0,9925.1
2012-01-01,7767.5,0.0,1736.3,0.0,0.0,9503.8
2013-01-01,7747.3,0.0,1736.3,0.0,0.0,9483.6
2014-01-01,8736.5,0.0,980.0,0.0,0.0,9716.5
2015-01-01,9136.8,0.0,623.8,1.0,0.0,9761.599999999999
2016-01-01,9083.5,0.0,544.7,1.0,0.0,9629.2
2017-01-01,9139.6,0.0,625.4,1.0,0.0,9766.0
2017-02-01,9072.6,0.0,492.6,1.0,0.0,9566.2
2017-03-01,9074.4,0.0,492.6,1.0,0.0,9568.0
2017-04-01,9082.1,0.0,503.3,1.0,0.0,9586.4
2017-05-01,9082.1,0.0,503.3,1.0,0.0,9586.4
2017-06-01,9082.1,0.0,503.3,1.0,0.0,9586.4
2017-07-01,9082.1,0.0,503.3,1.0,0.0,9586.4
2017-08-01,9083.5,0.0,544.7,1.0,0.0,9629.2
2017-09-01,9083.5,0.0,544.7,1.0,0.0,9629.2
2017-10-01,9083.5,0.0,544.7,1.0,0.0,9629.2
2017-11-01,9083.5,0.0,553.7,1.0,0.0,9638.2
2017-12-01,9083.5,0.0,556.0,1.0,0.0,9640.5
2018-01-01,9083.5,0.0,556.0,1.0,0.0,9640.5
2018-02-01,9058.5,0.0,556.0,1.0,0.0,9615.5
2018-03-01,9058.5,0.0,556.0,1.0,0.0,9615.5
2018-04-01,9058.5,0.0,556.0,1.0,0.0,9615.5
2018-05-01,9058.5,0.0,556.0,1.0,0.0,9615.5
2018-06-01,9066.0,0.0,570.9,1.0,0.0,9637.9
2018-07-01,8878.0,0.0,570.9,1.0,188.0,9449.9
2018-08-01,8878.0,0.0,570.9,1.0,188.0,9449.9
2018-09-01,8878.0,0.0,570.9,1.0,188.0,9449.9
2018-10-01,8878.0,0.0,573.4,1.0,188.0,9452.4
2018-11-01,8878.0,0.0,583.9,1.0,188.0,9462.9
2018-12-01,8878.0,0.0,599.6,1.0,188.0,9478.6
2019-01-01,9066.2,0.0,609.2,1.0,0.0,9676.400000000001
2019-02-01,9067.4,0.0,609.2,1.0,0.0,9677.6
2019-03-01,9067.4,0.0,609.2,2.7,0.0,9679.300000000001
2019-04-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-05-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-06-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-07-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-08-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-09-01,9067.4,0.0,610.2,2.7,0.0,9680.300000000001
2019-10-01,9080.2,0.0,610.2,2.7,0.0,9693.100000000002
2019-11-01,9080.2,0.0,610.2,2.7,0.0,9693.100000000002
2019-12-01,9077.2,0.0,613.2,2.7,0.0,9693.100000000002
2020-01-01,8780.8,0.0,611.7,2.7,0.0,9395.2
2020-02-01,8780.8,0.0,627.9,2.7,0.0,9411.4
2020-03-01,8784.7,0.0,629.1,2.7,0.0,9416.500000000002
