Date;NYCA;GJ;NYC;LI
01.05.2006;;;;
01.06.2006;;;;
01.07.2006;;;;
01.08.2006;;;;
01.09.2006;;;;
01.10.2006;11.79;;23.87;20.83
01.11.2006;11.79;;23.87;20.83
01.12.2006;11.79;;23.87;20.83
01.01.2007;11.79;;23.87;20.83
01.02.2007;11.79;;23.87;20.83
01.03.2007;11.79;;23.87;20.83
01.04.2007;;;;
01.05.2007;;;;
01.06.2007;;;;
01.07.2007;;;;
01.08.2007;;;;
01.09.2007;;;;
01.10.2007;12.21;;24.8;22.19
01.11.2007;12.21;;24.8;22.19
01.12.2007;12.21;;24.8;22.19
01.01.2008;12.21;;24.8;22.19
01.02.2008;12.21;;24.8;22.19
01.03.2008;12.21;;24.8;22.19
01.04.2008;12.26;;25.25;22.71
01.05.2008;12.26;;25.25;22.71
01.06.2008;12.26;;25.25;22.71
01.07.2008;12.26;;25.25;22.71
01.08.2008;12.26;;25.25;22.71
01.09.2008;12.26;;25.25;22.71
01.10.2008;12.3;;24.99;23.3
01.11.2008;12.3;;24.99;23.3
01.12.2008;12.3;;24.99;23.3
01.01.2009;12.3;;24.99;23.3
01.02.2009;12.3;;24.99;23.3
01.03.2009;12.3;;24.99;23.3
01.04.2009;13.53;;27.59;25.29
01.05.2009;13.53;;27.59;25.29
01.06.2009;13.53;;27.59;25.29
01.07.2009;13.53;;27.59;25.29
01.08.2009;13.53;;27.59;25.29
01.09.2009;13.53;;27.59;25.29
01.10.2009;13.75;;28.57;25.63
01.11.2009;13.75;;28.57;25.63
01.12.2009;13.75;;28.57;25.63
01.01.2010;13.75;;28.57;25.63
01.02.2010;13.75;;28.57;25.63
01.03.2010;13.75;;28.57;25.63
01.04.2010;14.92;;30.74;27.1
01.05.2010;14.92;;30.74;27.1
01.06.2010;14.92;;30.74;27.1
01.07.2010;14.92;;30.74;27.1
01.08.2010;14.92;;30.74;27.1
01.09.2010;14.92;;30.74;27.1
01.10.2010;14.59;;29.33;26.81
01.11.2010;14.59;;29.33;26.81
01.12.2010;14.59;;29.33;26.81
01.01.2011;14.59;;29.33;26.81
01.02.2011;14.59;;29.33;26.81
01.03.2011;14.59;;29.33;26.81
01.04.2011;14.61;;28.85;26.48
01.05.2011;14.61;;28.85;26.48
01.06.2011;14.61;;28.85;26.48
01.07.2011;14.61;;28.85;26.48
01.08.2011;14.61;;28.85;26.48
01.09.2011;14.61;;28.85;26.48
01.10.2011;16.25;;36.79;34.65
01.11.2011;16.25;;36.79;34.65
01.12.2011;16.25;;36.79;34.65
01.01.2012;16.25;;36.79;34.65
01.02.2012;16.25;;36.79;34.65
01.03.2012;16.25;;36.79;34.65
01.04.2012;16.75;;38.01;35.15
01.05.2012;16.75;;38.01;35.15
01.06.2012;16.75;;38.01;35.15
01.07.2012;16.75;;38.01;35.15
01.08.2012;16.75;;38.01;35.15
01.09.2012;16.75;;38.01;35.15
01.10.2012;16.39;;37.34;35.17
01.11.2012;16.39;;37.34;35.17
01.12.2012;16.39;;37.34;35.17
01.01.2013;16.39;;37.34;35.17
01.02.2013;16.39;;37.34;35.17
01.03.2013;16.39;;37.34;35.17
01.04.2013;16.99;;38.17;34.8
01.05.2013;16.99;;38.17;34.8
01.06.2013;16.99;;38.17;34.8
01.07.2013;16.99;;38.17;34.8
01.08.2013;16.99;;38.17;34.8
01.09.2013;16.99;;38.17;34.8
01.10.2013;16.88;;38.6;35
01.11.2013;16.88;;38.6;35
01.12.2013;16.88;;38.6;35
01.01.2014;16.88;;38.6;35
01.02.2014;16.88;;38.6;35
01.03.2014;16.88;;38.6;35
01.04.2014;16.88;;38.6;35
30.04.2014;16.88;;38.6;35
01.05.2014;14.85;19.98;27.65;22.61
01.06.2014;14.85;19.98;27.65;22.61
01.07.2014;14.85;19.98;27.65;22.61
01.08.2014;14.85;19.98;27.65;22.61
01.09.2014;14.85;19.98;27.65;22.61
01.10.2014;14.85;19.98;27.65;22.61
01.11.2014;14.56;19.85;27.54;22.76
01.12.2014;14.56;19.85;27.54;22.76
01.01.2015;14.56;19.85;27.54;22.76
01.02.2015;14.56;19.85;27.54;22.76
01.03.2015;14.56;19.85;27.54;22.76
01.04.2015;14.56;19.85;27.54;22.76
01.05.2015;15.08;20.4;28.71;23.15
01.06.2015;15.08;20.4;28.71;23.15
01.07.2015;15.08;20.4;28.71;23.15
01.08.2015;15.08;20.4;28.71;23.15
01.09.2015;15.08;20.4;28.71;23.15
01.10.2015;15.08;20.4;28.71;23.15
01.11.2015;15.17;20.99;29.95;23.45
01.12.2015;15.17;20.99;29.95;23.45
01.01.2016;15.17;20.99;29.95;23.45
01.02.2016;15.17;20.99;29.95;23.45
01.03.2016;15.17;20.99;29.95;23.45
01.04.2016;15.17;20.99;29.95;23.45
01.05.2016;15.6;21.33;30.18;23.52
01.06.2016;15.6;21.33;30.18;23.52
01.07.2016;15.6;21.33;30.18;23.52
01.08.2016;15.6;21.33;30.18;23.52
01.09.2016;15.6;21.33;30.18;23.52
01.10.2016;15.6;21.33;30.18;23.52
01.11.2016;15.2;20.85;28.88;23.29
01.12.2016;15.2;20.85;28.88;23.29
01.01.2017;15.2;20.85;28.88;23.29
01.02.2017;15.2;20.85;28.88;23.29
01.03.2017;15.2;20.85;28.88;23.29
01.04.2017;15.2;20.85;28.88;23.29
01.05.2017;17.47;23.57;27.33;25.82
01.06.2017;17.47;23.57;27.33;25.82
01.07.2017;17.47;23.57;27.33;25.82
01.08.2017;17.47;23.57;27.33;25.82
01.09.2017;17.47;23.57;27.33;25.82
01.10.2017;17.47;23.57;27.33;25.82
01.11.2017;17.31;23.63;27.59;25.94
01.12.2017;17.31;23.63;27.59;25.94
01.01.2018;17.31;23.63;27.59;25.94
01.02.2018;17.31;23.63;27.59;25.94
01.03.2018;17.31;23.63;27.59;25.94
01.04.2018;17.31;23.63;27.59;25.94
01.05.2018;17.67;23.76;28.67;26.5
01.06.2018;17.67;23.76;28.67;26.5
01.07.2018;17.67;23.76;28.67;26.5
01.08.2018;17.67;23.76;28.67;26.5
01.09.2018;17.67;23.76;28.67;26.5
01.10.2018;17.67;23.76;28.67;26.5
01.11.2018;17.48;23.73;28.34;26.68
01.12.2018;17.48;23.73;28.34;26.68
01.01.2019;17.48;23.73;28.34;26.68
01.02.2019;17.48;23.73;28.34;26.68
01.03.2019;17.48;23.73;28.34;26.68
01.04.2019;17.48;23.73;28.34;26.68
01.05.2019;17.9;23.73;28.08;26.84
01.06.2019;17.9;23.73;28.08;26.84
01.07.2019;17.9;23.73;28.08;26.84
01.08.2019;17.9;23.73;28.08;26.84
01.09.2019;17.9;23.73;28.08;26.84
01.10.2019;17.9;23.73;28.08;26.84
01.11.2019;17.75;23.76;28.18;27.28
01.12.2019;17.75;23.76;28.18;27.28
01.01.2020;17.75;23.76;28.18;27.28
01.02.2020;17.75;23.76;28.18;27.28
01.03.2020;17.75;23.76;28.18;27.28
01.04.2020;17.75;23.76;28.18;27.28
01.05.2020;18.46;24.35;28.93;27.96
01.06.2020;18.46;24.35;28.93;27.96
01.07.2020;18.46;24.35;28.93;27.96
01.08.2020;18.46;24.35;28.93;27.96
01.09.2020;18.46;24.35;28.93;27.96
01.10.2020;18.46;24.35;28.93;27.96
01.11.2020;18.13;24.02;28.69;27.67
