Date,Load (MW)
2006-02-01,3134.4
2006-05-01,3802.2
2006-06-01,4199.2
2006-07-01,5381.7
2006-08-01,5747.7
2006-09-01,3512.4
2006-10-01,3183.0
2006-11-01,3071.1
2006-12-01,3405.4
2007-01-01,3359.2
2007-02-01,3505.5
2007-03-01,3454.3
2007-04-01,2845.1
2007-05-01,3786.8
2007-06-01,4884.7
2007-07-01,5005.9
2007-08-01,5396.0
2007-09-01,4205.4
2007-10-01,4049.2
2007-11-01,3125.6
2007-12-01,3558.4
2008-01-01,3596.3
2008-02-01,3372.3
2008-03-01,3013.3
2008-04-01,2771.3
2008-05-01,3027.7
2008-06-01,5280.9
2008-07-01,5209.0
2008-08-01,4635.2
2008-09-01,4512.5
2008-10-01,3042.4
2008-11-01,3125.0
2008-12-01,3632.9
2009-01-01,3419.6
2009-02-01,3361.6
2009-03-01,3268.2
2009-04-01,3039.7
2009-05-01,3080.4
2009-06-01,3892.7
2009-07-01,4659.2
2009-08-01,5193.7
2009-09-01,3601.1
2009-10-01,2908.0
2009-11-01,3024.1
2009-12-01,3528.2
2010-01-01,3424.1
2010-02-01,3193.6
2010-03-01,3050.8
2010-04-01,2881.6
2010-05-01,4167.6
2010-06-01,5222.9
2010-07-01,5831.7
2010-08-01,5320.4
2010-09-01,5218.4
2010-10-01,3055.0
2010-11-01,3075.9
2010-12-01,3554.6
2011-01-01,3434.5
2011-02-01,3315.8
2011-03-01,3085.2
2011-04-01,2757.9
2011-05-01,4114.8
2011-06-01,5006.0
2011-07-01,5935.0
2011-08-01,5135.4
2011-09-01,4192.4
2011-10-01,3143.5
2011-11-01,2982.8
2011-12-01,3308.3
2012-01-01,3411.7
2012-02-01,3083.6
2012-03-01,2984.1
2012-04-01,2851.7
2012-05-01,4325.7
2012-06-01,5515.9
2012-07-01,5459.7
2012-08-01,4638.7
2012-09-01,4621.7
2012-10-01,3159.2
2012-12-01,3283.8
2013-02-01,3106.8
2013-03-01,3080.3
2013-04-01,2671.8
2013-05-01,4231.1
2013-06-01,4903.4
2013-07-01,5746.6
2013-08-01,4496.7
2013-09-01,4738.3
2013-10-01,3247.0
2013-11-01,3083.7
2013-12-01,3363.0
2014-01-01,3593.5
2014-02-01,3181.7
2014-03-01,3281.1
2014-04-01,2703.4
2014-05-01,3461.5
2014-06-01,4548.3
2014-07-01,4848.3
2014-08-01,4469.3
2014-09-01,5035.2
2014-10-01,3060.3
2014-11-01,3040.4
2014-12-01,3213.0
2015-01-01,3406.4
2015-02-01,3292.8
2015-03-01,3169.8
2015-04-01,2621.1
2015-05-01,3380.2
2015-06-01,4526.7
2015-07-01,5235.5
2015-08-01,4930.9
2015-09-01,4915.2
2015-10-01,2695.1
2015-11-01,2852.7
2015-12-01,2931.2
2016-01-01,3189.4
2016-02-01,3168.1
2016-03-01,2839.4
2016-04-01,2743.1
2016-05-01,3675.0
2016-06-01,4082.8
2016-07-01,5071.6
2016-08-01,5393.9
2016-09-01,4823.5
2016-10-01,3034.4
2016-11-01,2871.7
2016-12-01,3319.8
2017-01-01,3213.0
2017-02-01,2977.6
2017-03-01,2964.1
2017-04-01,2625.4
2017-05-01,4002.6
2017-06-01,4891.7
2017-07-01,5121.3
2017-08-01,4672.1
2017-09-01,4058.8
2017-10-01,3285.3
2017-11-01,2712.8
2017-12-01,3321.6
2018-01-01,3441.3
2018-02-01,3002.5
2018-03-01,2802.3
2018-04-01,2550.1
2018-05-01,3521.1
2018-06-01,4542.7
2018-07-01,5151.1
2018-08-01,5394.1
2018-09-01,5206.0
2018-10-01,3211.5
2018-11-01,2805.2
2018-12-01,3020.8
2019-01-01,3390.2
2019-02-01,3065.7
2019-03-01,2958.6
2019-04-01,2466.8
2019-05-01,3016.1
2019-06-01,4508.3
2019-07-01,5437.6
2019-08-01,4842.5
2019-09-01,3862.2
2019-10-01,4028.3
2019-11-01,2840.5
2019-12-01,3156.5
2020-01-01,2714.4
2020-07-01,5405.4231
2020-08-01,4893.3188
2020-09-01,4277.3332
2020-10-01,2557.1152
2020-11-01,2766.8067
2020-12-01,3142.7474
2021-01-01,3077.0805
2021-02-01,2941.1801
2021-03-01,2834.1688
2021-04-01,2393.9858
2021-05-01,3692.3377
2021-06-01,5026.1214
2021-07-01,4972.1475
2021-08-01,5119.9055
2021-09-01,4086.2231
2021-10-01,2764.2344
2021-11-01,2732.1112
2021-12-01,2917.4635
2022-01-01,3111.7509
2022-02-01,2974.1266
2022-03-01,2716.8907
2022-04-01,2399.3675
2022-05-01,4350.1093
2022-06-01,4023.2021
2022-07-01,5113.2503
2022-08-01,5210.4565
2022-09-01,3998.3908
2022-10-01,2485.4998
2022-11-01,2652.4645
2022-12-01,3123.0957
2023-01-01,2678.7304
2023-02-01,3078.2163
2023-03-01,2689.7146
2023-04-01,2220.2597
2023-05-01,2663.044
2023-06-01,3157.5901
