Date,Capacity Gas (LI),Capacity Coal (LI),Capacity Oil (LI),Capacity Renewables (LI),Capacity Others (LI),Capacity Gas (NYC),Capacity Coal (NYC),Capacity Oil (NYC),Capacity Renewables (NYC),Capacity Others (NYC),Capacity Gas (GJ),Capacity Coal (GJ),Capacity Oil (GJ),Capacity Renewables (GJ),Capacity Others (GJ),Capacity Gas (NYCA),Capacity Coal (NYCA),Capacity Oil (NYCA),Capacity Renewables (NYCA),Capacity Others (NYCA)
2017-01-01,0.0,0.0,0.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,0.0,0.0,2.5,735.4,0.0
2017-02-01,0.0,0.0,0.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,0.0,0.0,2.5,815.4,0.0
2017-03-01,0.0,0.0,0.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,0.0,0.0,2.5,768.0,0.0
2017-04-01,0.0,0.0,0.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,892.5,0.0,2.5,768.0,0.0
2017-05-01,0.0,0.0,0.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,892.5,0.0,2.5,749.9,0.0
2017-06-01,1.4,0.0,0.0,4.0,0.0,185.5,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,21.0,0.0,892.5,0.0,2.5,749.9,0.0
2017-07-01,1.4,0.0,0.0,4.0,0.0,185.5,0.0,0.0,0.0,0.0,1940.0,0.0,0.30000000000000004,21.0,0.0,892.5,0.0,2.5,749.9,0.0
2017-08-01,1.4,0.0,0.0,4.0,0.0,185.5,0.0,0.0,0.0,0.0,1940.0,0.0,0.30000000000000004,21.0,0.0,892.5,0.0,0.0,749.9,0.0
2017-09-01,1.4,0.0,0.0,4.0,0.0,185.5,0.0,0.0,0.0,0.0,1940.0,0.0,0.30000000000000004,21.0,0.0,892.5,0.0,0.0,749.9,0.0
2017-10-01,1.4,0.0,0.0,4.0,0.0,185.5,0.0,0.0,0.0,0.0,1940.0,0.0,0.30000000000000004,21.0,0.0,892.5,0.0,0.0,749.9,0.0
