Date,Capacity Gas (MW),Capacity Coal (MW),Capacity Oil (MW),Capacity Renewables (MW),Capacity Others (MW)
2017-01-01,24444.9,1206.5,3832.8,8376.9,5728.1
2017-02-01,24265.9,1318.4999999999998,3700.0,8387.3,5728.1
2017-03-01,24379.699999999997,1110.5,3700.0,8387.3,5728.1
2017-04-01,24387.399999999998,1110.5,3710.7,8393.1,5728.1
2017-05-01,24409.0,1110.5,3689.1000000000004,8395.1,5728.1
2017-06-01,24406.8,1098.0,3689.1000000000004,8396.7,5728.1
2017-07-01,24406.9,1098.0,3690.7,8399.7,5728.1
2017-08-01,24408.3,1098.0,3734.6,8396.099999999999,5728.1
2017-09-01,24408.3,1098.0,3734.6,8396.099999999999,5728.1
2017-10-01,24408.3,1098.0,3734.6,8400.1,5728.1
2017-11-01,24408.3,1098.0,3743.6,8402.099999999999,5728.1
2017-12-01,24409.199999999997,1098.0,3748.9,8405.5,5728.1
2018-01-01,24409.199999999997,1098.0,3748.9,8391.0,5729.4
2018-02-01,24377.199999999997,1098.0,3748.9,8398.3,5730.4
2018-03-01,24377.199999999997,1098.0,3748.9,8402.3,5730.4
2018-04-01,24377.199999999997,1098.0,3748.9,8404.1,5730.4
2018-05-01,25231.5,1098.0,3748.9,8420.6,5730.4
2018-06-01,25239.2,1098.0,3765.5,8444.8,5730.4
2018-07-01,24995.2,1098.0,3765.5,8487.0,5974.4
2018-08-01,24995.2,1098.0,3765.5,8571.7,5974.4
2018-09-01,24995.2,1098.0,3765.5,8573.2,5974.4
2018-10-01,24995.2,1098.0,3768.0,8573.2,5974.4
2018-11-01,24995.2,1098.0,3786.5,8575.0,5974.4
2018-12-01,25002.2,1098.0,3806.3999999999996,8668.0,5974.4
2019-01-01,25249.0,930.8000000000002,3845.9,8674.7,5730.4
2019-02-01,25252.699999999997,930.8000000000002,3845.9,8688.2,5730.4
2019-03-01,25255.1,930.8000000000002,3848.4999999999995,8700.1,5750.4
2019-04-01,25255.1,930.8000000000002,3849.5,8699.4,5750.4
2019-05-01,25266.0,930.8000000000002,3849.5,8745.6,5760.4
2019-06-01,25164.6,930.8000000000002,3849.5,8770.199999999999,5760.4
2019-07-01,25168.2,930.8000000000002,3849.5,8774.2,5760.4
2019-08-01,25168.2,930.8000000000002,3849.5,8791.0,5762.4
2019-09-01,25168.2,930.8000000000002,3849.5,8825.7,5762.4
2019-10-01,25181.0,930.8000000000002,3849.5,8825.7,5762.4
2019-11-01,25181.0,930.8000000000002,3849.5,8836.300000000001,5762.4
2019-12-01,25178.0,930.8000000000002,3852.5,8911.3,5762.4
2020-01-01,24878.2,930.8000000000002,3848.7000000000003,8914.6,5762.4
2020-02-01,24878.2,775.5000000000001,3873.0,8930.5,5762.4
2020-03-01,24900.200000000004,120.4,3857.2,8935.199999999999,5762.4
2020-04-01,26495.6,120.4,3856.3999999999996,8937.7,4463.4
2020-05-01,26253.300000000003,120.4,3856.3999999999996,8912.4,4463.4
2020-06-01,26253.300000000003,120.4,3856.3999999999996,8924.9,4467.4
2020-07-01,26253.300000000003,120.4,3856.3999999999996,8931.9,4467.4
2020-08-01,26253.300000000003,120.4,3857.6000000000004,8935.900000000001,4467.4
2020-09-01,26253.300000000003,120.4,3857.6000000000004,8972.9,4467.4
2020-10-01,26253.300000000003,120.4,3857.6000000000004,8990.599999999999,4470.4
2020-11-01,26375.7,0.0,3857.6000000000004,8990.599999999999,4470.4
2020-12-01,26381.7,0.0,3812.2,9038.0,4475.5
2021-01-01,26356.7,0.0,3828.0,8986.7,4478.5
2021-02-01,26356.7,0.0,3828.0,8994.4,4478.5
2021-03-01,26327.3,0.0,3855.5,9007.7,4480.0
2021-04-01,26321.3,0.0,3855.5,9017.7,3468.0
2021-05-01,26321.3,0.0,3850.3999999999996,9024.599999999999,3468.0
2021-06-01,26334.8,0.0,3850.3999999999996,9042.2,3470.0
2021-07-01,26334.5,0.0,3850.3999999999996,9166.2,3470.0
2021-08-01,26330.3,0.0,3850.3999999999996,9167.199999999999,3470.0
2021-09-01,26330.3,0.0,3850.3999999999996,9172.2,3475.0
2021-10-01,26330.3,0.0,3850.3999999999996,9270.6,3484.0
2021-11-01,26330.3,0.0,3850.3999999999996,9293.6,3484.0
2021-12-01,26305.0,0.0,3850.3999999999996,9363.4,3488.5
2022-01-01,26305.3,0.0,3868.3999999999996,9357.199999999999,3488.5
2022-02-01,26305.3,0.0,3922.9999999999995,9363.3,3488.5
2022-03-01,26316.8,0.0,3922.7,9375.3,3488.5
2022-04-01,26314.8,0.0,3921.4999999999995,9388.3,3491.5
2022-05-01,26314.5,0.0,3921.4999999999995,9380.7,3491.5
2022-06-01,26314.5,0.0,3921.4999999999995,9417.2,3482.5
2022-07-01,26320.0,0.0,3841.0,9435.8,3490.0
2022-08-01,26325.0,0.0,3841.0,9463.2,3490.0
2022-09-01,26325.0,0.0,3841.0,9467.8,3490.0
2022-10-01,26325.0,0.0,3841.0,9509.400000000001,3534.7
2022-11-01,26325.0,0.0,3808.4000000000005,9513.4,3535.3999999999996
2022-12-01,26325.0,0.0,3808.4000000000005,9543.4,3535.3999999999996
2023-01-01,26330.199999999997,0.0,3809.0,9692.400000000001,3545.3999999999996
2023-02-01,26285.000000000004,0.0,3808.6,9931.4,3545.3999999999996
2023-03-01,26295.000000000004,0.0,3808.8,10038.400000000001,3555.3999999999996
