Date,Capacity Gas (LI),Capacity Coal (LI),Capacity Oil (LI),Capacity Renewables (LI),Capacity Others (LI),Capacity Gas (NYC),Capacity Coal (NYC),Capacity Oil (NYC),Capacity Renewables (NYC),Capacity Others (NYC),Capacity Gas (GJ),Capacity Coal (GJ),Capacity Oil (GJ),Capacity Renewables (GJ),Capacity Others (GJ),Capacity Gas (NYCA),Capacity Coal (NYCA),Capacity Oil (NYCA),Capacity Renewables (NYCA),Capacity Others (NYCA)
2017-01-01,4106.2,0.0,1338.9,199.29999999999998,0.0,9139.6,0.0,625.4,1.0,0.0,4452.2,0.0,49.300000000000004,105.3,2311.0,5260.8,1206.5,1819.1999999999998,8071.3,3417.1
2017-02-01,4106.2,0.0,1338.9,199.29999999999998,0.0,9072.6,0.0,492.6,1.0,0.0,4452.2,0.0,49.300000000000004,105.3,2311.0,5148.8,1318.5,1819.1999999999998,8081.7,3417.1
2017-03-01,4106.2,0.0,1338.9,199.29999999999998,0.0,9074.4,0.0,492.6,1.0,0.0,4452.2,0.0,49.300000000000004,105.3,2311.0,5260.8,1110.5,1819.1999999999998,8081.7,3417.1
2017-04-01,4106.2,0.0,1338.9,199.29999999999998,0.0,9082.1,0.0,503.3,1.0,0.0,4452.2,0.0,49.300000000000004,105.3,2311.0,5260.8,1110.5,1819.1999999999998,8087.5,3417.1
2017-05-01,4106.2,0.0,1338.9,199.29999999999998,0.0,9082.1,0.0,503.3,1.0,0.0,4473.8,0.0,27.700000000000003,105.3,2311.0,5260.8,1110.5,1819.1999999999998,8089.5,3417.1
2017-06-01,4104.0,0.0,1338.9,199.29999999999998,0.0,9082.1,0.0,503.3,1.0,0.0,4473.8,0.0,27.700000000000003,105.3,2311.0,5260.8,1098.0,1819.1999999999998,8091.1,3417.1
2017-07-01,4104.0,0.0,1338.9,201.1,0.0,9082.1,0.0,503.3,1.0,0.0,4473.9,0.0,29.3,105.3,2311.0,5260.8,1098.0,1819.1999999999998,8092.3,3417.1
2017-08-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,544.7,1.0,0.0,4473.9,0.0,29.3,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8088.7,3417.1
2017-09-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,544.7,1.0,0.0,4473.9,0.0,29.3,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8088.7,3417.1
2017-10-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,544.7,1.0,0.0,4473.9,0.0,29.3,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8092.7,3417.1
2017-11-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,553.7,1.0,0.0,4473.9,0.0,29.3,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8094.7,3417.1
2017-12-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,556.0,1.0,0.0,4474.8,0.0,32.300000000000004,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8098.1,3417.1
2018-01-01,4104.0,0.0,1338.9,201.1,0.0,9083.5,0.0,556.0,1.0,0.0,4474.8,0.0,32.300000000000004,105.3,2311.0,5260.8,1098.0,1821.6999999999998,8083.6,3418.3999999999996
2018-02-01,4104.0,0.0,1338.9,201.1,0.0,9058.5,0.0,556.0,1.0,0.0,4474.8,0.0,32.300000000000004,105.3,2311.0,5253.8,1098.0,1821.6999999999998,8090.9,3419.3999999999996
2018-03-01,4104.0,0.0,1338.9,201.1,0.0,9058.5,0.0,556.0,1.0,0.0,4474.8,0.0,32.300000000000004,105.3,2311.0,5253.8,1098.0,1821.6999999999998,8094.9,3419.3999999999996
2018-04-01,4104.0,0.0,1338.9,201.1,0.0,9058.5,0.0,556.0,1.0,0.0,4474.8,0.0,32.300000000000004,105.3,2311.0,5253.8,1098.0,1821.6999999999998,8096.7,3419.3999999999996
2018-05-01,4104.0,0.0,1338.9,201.1,0.0,9058.5,0.0,556.0,1.0,0.0,5244.8,0.0,32.300000000000004,105.3,2311.0,5206.1,1098.0,1821.6999999999998,8113.2,3419.3999999999996
2018-06-01,4104.0,0.0,1338.9,211.29999999999998,0.0,9066.0,0.0,570.9,1.0,0.0,5245.0,0.0,34.0,105.3,2311.0,5206.1,1098.0,1821.6999999999998,8127.2,3419.3999999999996
2018-07-01,4048.0,0.0,1338.9,236.2,56.0,8878.0,0.0,570.9,1.0,188.0,5245.0,0.0,34.0,107.3,2311.0,5206.1,1098.0,1821.6999999999998,8142.5,3419.3999999999996
2018-08-01,4048.0,0.0,1338.9,236.2,56.0,8878.0,0.0,570.9,1.0,188.0,5245.0,0.0,34.0,107.3,2311.0,5206.1,1098.0,1821.6999999999998,8227.2,3419.3999999999996
2018-09-01,4048.0,0.0,1338.9,236.2,56.0,8878.0,0.0,570.9,1.0,188.0,5245.0,0.0,34.0,107.3,2311.0,5206.1,1098.0,1821.6999999999998,8228.7,3419.3999999999996
2018-10-01,4048.0,0.0,1338.9,236.2,56.0,8878.0,0.0,573.4,1.0,188.0,5245.0,0.0,34.0,107.3,2311.0,5206.1,1098.0,1821.6999999999998,8228.7,3419.3999999999996
2018-11-01,4048.0,0.0,1338.9,236.2,56.0,8878.0,0.0,583.9,1.0,188.0,5245.0,0.0,42.0,107.3,2311.0,5206.1,1098.0,1821.6999999999998,8230.5,3419.3999999999996
2018-12-01,4048.0,0.0,1341.1,239.7,56.0,8878.0,0.0,599.6,1.0,188.0,5245.0,0.0,44.0,111.1,2311.0,5213.1,1098.0,1821.6999999999998,8316.2,3419.3999999999996
2019-01-01,4104.0,0.0,1344.0,239.7,0.0,9066.2,0.0,609.2,1.0,0.0,5246.4,0.0,71.0,111.1,2311.0,5214.3,930.8,1821.6999999999998,8322.9,3419.3999999999996
2019-02-01,4105.0,0.0,1344.0,243.7,0.0,9067.4,0.0,609.2,1.0,0.0,5247.9,0.0,71.0,111.1,2311.0,5214.3,930.8,1821.6999999999998,8332.4,3419.3999999999996
2019-03-01,4105.0,0.0,1344.0,243.7,0.0,9067.4,0.0,609.2,2.7,0.0,5250.3,0.0,73.6,113.6,2311.0,5214.3,930.8,1821.6999999999998,8340.1,3439.3999999999996
2019-04-01,4105.0,0.0,1344.0,243.7,0.0,9067.4,0.0,610.2,2.7,0.0,5250.3,0.0,73.6,112.9,2311.0,5214.3,930.8,1821.6999999999998,8340.1,3439.3999999999996
2019-05-01,4105.0,0.0,1344.0,243.7,10.0,9067.4,0.0,610.2,2.7,0.0,5250.3,0.0,73.6,121.1,2311.0,5225.2,930.8,1821.6999999999998,8378.1,3439.3999999999996
2019-06-01,4105.0,0.0,1344.0,263.7,10.0,9067.4,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,121.1,2311.0,5225.2,930.8,1821.6999999999998,8382.7,3439.3999999999996
2019-07-01,4105.0,0.0,1344.0,263.7,10.0,9067.4,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,123.1,2311.0,5228.8,930.8,1821.6999999999998,8384.7,3439.3999999999996
2019-08-01,4105.0,0.0,1344.0,263.7,10.0,9067.4,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,125.1,2311.0,5228.8,930.8,1821.6999999999998,8399.5,3441.3999999999996
2019-09-01,4105.0,0.0,1344.0,263.7,10.0,9067.4,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,127.1,2311.0,5228.8,930.8,1821.6999999999998,8432.2,3441.3999999999996
2019-10-01,4105.0,0.0,1344.0,263.7,10.0,9080.2,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,127.1,2311.0,5228.8,930.8,1821.6999999999998,8432.2,3441.3999999999996
2019-11-01,4105.0,0.0,1290.0,263.7,10.0,9080.2,0.0,610.2,2.7,0.0,5148.9,0.0,73.6,136.7,2311.0,5228.8,930.8,1821.6999999999998,8433.2,3441.3999999999996
2019-12-01,4105.0,0.0,1290.0,263.7,10.0,9077.2,0.0,613.2,2.7,0.0,5148.9,0.0,73.6,146.7,2311.0,5228.8,930.8,1821.6999999999998,8498.2,3441.3999999999996
2020-01-01,4105.0,0.0,1285.6000000000001,266.2,10.0,8780.8,0.0,611.7,2.7,0.0,5148.9,0.0,75.7,146.7,2311.0,5225.4,930.8,1821.6999999999998,8499.0,3441.3999999999996
2020-02-01,4105.0,0.0,1285.6000000000001,266.2,10.0,8780.8,0.0,627.9,2.7,0.0,5148.9,0.0,83.8,143.7,2311.0,5225.4,775.5,1821.6999999999998,8517.9,3441.3999999999996
2020-03-01,4123.1,0.0,1267.1,266.2,10.0,8784.7,0.0,629.1,2.7,0.0,5148.9,0.0,85.3,143.7,2311.0,5225.4,120.4,1821.6999999999998,8522.6,3441.3999999999996
2020-04-01,4123.1,0.0,1267.1,266.2,10.0,9069.1,0.0,629.1,2.7,0.0,6459.9,0.0,84.5,143.7,1012.0,5225.4,120.4,1821.6999999999998,8525.1,3441.3999999999996
2020-05-01,4123.1,0.0,1267.1,266.2,10.0,8784.7,0.0,629.1,2.7,0.0,6459.9,0.0,84.5,153.6,1012.0,5267.5,120.4,1821.6999999999998,8489.9,3441.3999999999996
2020-06-01,4123.1,0.0,1267.1,266.2,10.0,8784.7,0.0,629.1,2.7,0.0,6459.9,0.0,84.5,157.6,1016.0,5267.5,120.4,1821.6999999999998,8498.4,3441.3999999999996
2020-07-01,4123.1,0.0,1267.1,266.2,10.0,8784.7,0.0,629.1,2.7,0.0,6459.9,0.0,84.5,159.6,1016.0,5267.5,120.4,1821.6999999999998,8503.4,3441.3999999999996
