Date,Cleared Above NYCA (%),Cleared Above GJ (%),Cleared Above NYC (%),Cleared Above LI (%)
2014-08-01,4.84,0.75,0.98,4.5
2014-09-01,5.08,1.0,1.3299999999999998,4.5
2014-10-01,5.35,1.46,1.54,4.41
2014-11-01,10.209999999999999,8.25,9.75,11.790000000000001
2014-12-01,7.6,9.43,9.83,11.799999999999999
2015-01-01,8.97,10.59,9.89,11.360000000000001
2015-02-01,7.7700000000000005,10.07,9.76,11.93
2015-03-01,11.1,11.57,11.3,12.049999999999999
2015-04-01,11.06,11.690000000000001,11.28,11.95
2015-05-01,7.049999999999999,2.56,3.82,6.1899999999999995
2015-06-01,6.0600000000000005,2.97,4.38,6.21
2015-07-01,7.16,5.47,4.51,6.22
2015-08-01,7.64,5.52,4.46,6.2
2015-09-01,7.7700000000000005,5.58,4.51,6.52
2015-10-01,8.4,5.74,4.73,6.54
2015-11-01,11.44,11.17,12.590000000000002,14.32
2015-12-01,10.45,11.15,12.65,14.26
2016-01-01,10.34,11.5,13.03,14.879999999999999
2016-02-01,10.24,11.51,13.04,14.899999999999999
2016-03-01,11.35,11.53,13.059999999999999,14.93
2016-04-01,11.3,11.65,13.19,14.78
2016-05-01,5.81,4.81,7.57,9.22
2016-06-01,6.25,4.89,7.670000000000001,8.559999999999999
2016-07-01,6.98,4.92,7.7299999999999995,9.22
2016-08-01,7.720000000000001,4.95,7.739999999999999,9.1
2016-09-01,8.1,5.029999999999999,7.75,9.030000000000001
2016-10-01,8.33,5.0200000000000005,7.79,9.28
2016-11-01,11.58,10.89,16.220000000000002,17.64
2016-12-01,11.34,10.96,16.25,17.75
2017-01-01,11.62,11.07,16.37,17.78
2017-02-01,11.35,11.129999999999999,16.37,17.73
2017-03-01,11.14,11.32,16.71,17.05
2017-04-01,11.58,11.37,16.71,17.669999999999998
2017-05-01,9.94,5.36,8.219999999999999,9.030000000000001
2017-06-01,7.33,5.62,8.53,9.06
2017-07-01,9.29,5.86,8.88,9.06
2017-08-01,9.379999999999999,5.92,8.89,9.09
2017-09-01,9.379999999999999,5.72,8.57,9.2
2017-10-01,9.790000000000001,6.12,9.17,9.180000000000001
2017-11-01,11.700000000000001,11.75,17.53,16.8
2017-12-01,11.700000000000001,11.84,17.54,17.1
2018-01-01,11.459999999999999,12.02,17.84,17.07
2018-02-01,11.76,11.88,17.64,17.06
2018-03-01,11.82,12.08,17.86,17.07
2018-04-01,11.700000000000001,10.6,15.73,17.07
2018-05-01,9.049999999999999,4.84,10.299999999999999,9.93
2018-06-01,7.26,6.23,9.93,9.950000000000001
2018-07-01,7.380000000000001,6.3,10.040000000000001,10.09
2018-08-01,7.76,6.800000000000001,11.17,10.09
2018-09-01,8.870000000000001,7.02,11.19,10.15
2018-10-01,9.24,7.430000000000001,11.07,10.22
2018-11-01,11.89,13.63,17.990000000000002,17.21
2018-12-01,11.89,13.69,17.65,15.709999999999999
2019-01-01,11.86,13.69,17.990000000000002,17.49
2019-02-01,11.07,13.71,17.990000000000002,17.52
2019-03-01,10.8,13.68,17.990000000000002,17.46
2019-04-01,11.709999999999999,13.750000000000002,17.990000000000002,17.52
2019-05-01,10.73,10.35,7.06,11.690000000000001
2019-06-01,10.0,10.530000000000001,7.16,11.73
2019-07-01,10.459999999999999,10.86,7.41,11.74
2019-08-01,10.489999999999998,10.9,7.470000000000001,12.18
2019-09-01,10.5,10.89,7.51,12.17
2019-10-01,11.17,11.129999999999999,7.71,12.18
2019-11-01,11.89,14.99,14.860000000000001,17.990000000000002
2019-12-01,11.97,14.99,14.87,17.990000000000002
2020-01-01,11.89,15.0,15.09,17.990000000000002
2020-02-01,11.99,14.99,15.09,17.990000000000002
2020-03-01,11.99,15.0,15.079999999999998,17.990000000000002
2020-04-01,11.89,14.99,15.27,17.990000000000002
2020-05-01,8.74,14.57,3.7199999999999998,12.1
2020-06-01,8.540000000000001,14.67,3.73,12.11
2020-07-01,9.22,14.64,3.82,13.020000000000001
2020-08-01,9.55,14.860000000000001,4.06,13.15
