Date,UCAP NYCA (MW),UCAP GJ (MW),UCAP NYC (MW),UCAP LI (MW)
2014-08-01,35812.4,13494.9,9470.5,5430.5
2014-09-01,35812.4,13494.9,9470.5,5430.5
2014-10-01,35812.4,13494.9,9470.5,5430.5
2014-11-01,36505.6,13582.3,9508.6,5393.5
2014-12-01,36505.6,13582.3,9508.6,5393.5
2015-01-01,36505.6,13582.3,9508.6,5393.5
2015-02-01,36505.6,13582.3,9508.6,5393.5
2015-03-01,36505.6,13582.3,9508.6,5393.5
2015-04-01,36505.6,13582.3,9508.6,5393.5
2015-05-01,35919.8,13934.4,9271.7,5284.0
2015-06-01,35919.8,13934.4,9271.7,5284.0
2015-07-01,35919.8,13934.4,9271.7,5284.0
2015-08-01,35919.8,13934.4,9271.7,5284.0
2015-09-01,35919.8,13934.4,9271.7,5284.0
2015-10-01,35919.8,13934.4,9271.7,5284.0
2015-11-01,35715.5,13538.1,8916.1,5215.8
2015-12-01,35715.5,13538.1,8916.1,5215.8
2016-01-01,35715.5,13538.1,8916.1,5215.8
2016-02-01,35715.5,13538.1,8916.1,5215.8
2016-03-01,35715.5,13538.1,8916.1,5215.8
2016-04-01,35715.5,13538.1,8916.1,5215.8
2016-05-01,35429.8,13514.5,8589.0,5207.2
2016-06-01,35429.8,13514.5,8589.0,5207.2
2016-07-01,35429.8,13514.5,8589.0,5207.2
2016-08-01,35429.8,13514.5,8589.0,5207.2
2016-09-01,35429.8,13514.5,8589.0,5207.2
2016-10-01,35429.8,13514.5,8589.0,5207.2
2016-11-01,36354.8,13827.1,8977.3,5258.3
2016-12-01,36354.8,13827.1,8977.3,5258.3
2017-01-01,36354.8,13827.1,8977.3,5258.3
2017-02-01,36354.8,13827.1,8977.3,5258.3
2017-03-01,36354.8,13827.1,8977.3,5258.3
2017-04-01,36354.8,13827.1,8977.3,5258.3
2017-05-01,35512.8,13621.8,9095.4,5302.5
2017-06-01,35512.8,13621.8,9095.4,5302.5
2017-07-01,35512.8,13621.8,9095.4,5302.5
2017-08-01,35512.8,13621.8,9095.4,5302.5
2017-09-01,35512.8,13621.8,9095.4,5302.5
2017-10-01,35512.8,13621.8,9095.4,5302.5
2017-11-01,35849.5,13588.0,9010.8,5276.1
2017-12-01,35849.5,13588.0,9010.8,5276.1
2018-01-01,35849.5,13588.0,9010.8,5276.1
2018-02-01,35849.5,13588.0,9010.8,5276.1
2018-03-01,35849.5,13588.0,9010.8,5276.1
2018-04-01,35849.5,13588.0,9010.8,5276.1
2018-05-01,35561.7,14100.5,8630.1,5214.4
2018-06-01,35561.7,14100.5,8630.1,5214.4
2018-07-01,35561.7,14100.5,8630.1,5214.4
2018-08-01,35561.7,14100.5,8630.1,5214.4
2018-09-01,35561.7,14100.5,8630.1,5214.4
2018-10-01,35561.7,14100.5,8630.1,5214.4
2018-11-01,35946.7,14115.5,8733.2,5179.9
2018-12-01,35946.7,14115.5,8733.2,5179.9
2019-01-01,35946.7,14115.5,8733.2,5179.9
2019-02-01,35946.7,14115.5,8733.2,5179.9
2019-03-01,35946.7,14115.5,8733.2,5179.9
2019-04-01,35946.7,14115.5,8733.2,5179.9
2019-05-01,34558.0,13873.7,9217.4,5102.0
2019-06-01,34558.0,13873.7,9217.4,5102.0
