Date,gas,coal,oil
Jan-17,-1093.158667,665.732,14.56
Feb-17,-1272.158667,777.732,-118.24
Mar-17,-1158.358667,569.732,-118.24
Apr-17,-1150.658667,569.732,-107.54
May-17,-1129.058667,569.732,-129.14
Jun-17,-1131.258667,557.232,-129.14
Jul-17,-1131.158667,557.232,-127.54
Aug-17,-1129.758667,557.232,-83.64
Sep-17,-1129.758667,557.232,-83.64
Oct-17,-1129.758667,557.232,-83.64
Nov-17,-1129.758667,557.232,-74.64
Dec-17,-1128.858667,557.232,-69.34
Jan-18,-1128.858667,557.232,-69.34
Feb-18,-1160.858667,557.232,-69.34
Mar-18,-1160.858667,557.232,-69.34
Apr-18,-1160.858667,557.232,-69.34
May-18,-306.5586667,557.232,-69.34
Jun-18,-298.8586667,557.232,-52.74
Jul-18,-542.8586667,557.232,-52.74
Aug-18,-542.8586667,557.232,-52.74
Sep-18,-542.8586667,557.232,-52.74
Oct-18,-542.8586667,557.232,-50.24
Nov-18,-542.8586667,557.232,-31.74
Dec-18,-535.8586667,557.232,-11.84
Jan-19,-289.0586667,390.032,27.66
Feb-19,-285.3586667,390.032,27.66
Mar-19,-282.9586667,390.032,30.26
Apr-19,-282.9586667,390.032,31.26
May-19,-272.0586667,390.032,31.26
Jun-19,-373.4586667,390.032,31.26
Jul-19,-369.8586667,390.032,31.26
Aug-19,-369.8586667,390.032,31.26
Sep-19,-369.8586667,390.032,31.26
Oct-19,-357.0586667,390.032,31.26
Nov-19,-357.0586667,390.032,31.26
Dec-19,-360.0586667,390.032,34.26
Jan-20,-659.8586667,390.032,30.46
Feb-20,-659.8586667,234.732,54.76
Mar-20,-637.8586667,-420.368,38.96
Apr-20,957.5413333,-420.368,38.16
May-20,715.2413333,-420.368,38.16
Jun-20,715.2413333,-420.368,38.16
Jul-20,715.2413333,-420.368,38.16
Aug-20,715.2413333,-420.368,39.36
Sep-20,715.2413333,-420.368,39.36
Oct-20,715.2413333,-420.368,39.36
Nov-20,837.6413333,-540.768,39.36
Dec-20,843.6413333,-540.768,-6.04
Jan-21,818.6413333,-540.768,9.76
Feb-21,818.6413333,-540.768,9.76
Mar-21,789.2413333,-540.768,37.26
Apr-21,783.2413333,-540.768,37.26
May-21,783.2413333,-540.768,32.16
Jun-21,796.7413333,-540.768,32.16
Jul-21,796.4413333,-540.768,32.16
Aug-21,792.2413333,-540.768,32.16
Sep-21,792.2413333,-540.768,32.16
Oct-21,792.2413333,-540.768,32.16
Nov-21,792.2413333,-540.768,32.16
Dec-21,766.9413333,-540.768,32.16
Jan-22,767.2413333,-540.768,50.16
Feb-22,767.2413333,-540.768,104.76
Mar-22,778.7413333,-540.768,104.46
Apr-22,776.7413333,-540.768,103.26
May-22,776.4413333,-540.768,103.26
Jun-22,776.4413333,-540.768,103.26
Jul-22,781.9413333,-540.768,22.76
Aug-22,786.9413333,-540.768,22.76
Sep-22,786.9413333,-540.768,22.76
Oct-22,786.9413333,-540.768,22.76
Nov-22,786.9413333,-540.768,-9.84
Dec-22,786.9413333,-540.768,-9.84
Jan-23,792.1413333,-540.768,-9.24
Feb-23,746.9413333,-540.768,-9.64
Mar-23,756.9413333,-540.768,-9.44
