Date;gas;coal;oil
Jan 17;0;0;0
Feb 17;-179;112;-132.8
Mar-17;-65.2;-96;-132.8
Apr 17;-57.5;-96;-122.1
May-17;-35.9;-96;-143.7
Jun 17;-38.1;-108.5;-143.7
Jul 17;-38;-108.5;-142.1
Aug 17;-36.6;-108.5;-98.2
Sep 17;-36.6;-108.5;-98.2
Oct-17;-36.6;-108.5;-98.2
Nov 17;-36.6;-108.5;-89.2
Dec-17;-35.7;-108.5;-83.9
Jan 18;-35.7;-108.5;-83.9
Feb 18;-67.7;-108.5;-83.9
Mar-18;-67.7;-108.5;-83.9
Apr 18;-67.7;-108.5;-83.9
May-18;786.6;-108.5;-83.9
Jun 18;794.3;-108.5;-67.3
Jul 18;550.3;-108.5;-67.3
Aug 18;550.3;-108.5;-67.3
Sep 18;550.3;-108.5;-67.3
Oct-18;550.3;-108.5;-64.8
Nov 18;550.3;-108.5;-46.3
Dec-18;557.3;-108.5;-26.4
Jan 19;804.1;-275.7;13.1
Feb 19;807.8;-275.7;13.1
Mar-19;810.2;-275.7;15.7
Apr 19;810.2;-275.7;16.7
May-19;821.1;-275.7;16.7
Jun 19;719.7;-275.7;16.7
Jul 19;723.3;-275.7;16.7
Aug 19;723.3;-275.7;16.7
Sep 19;723.3;-275.7;16.7
Oct-19;736.1;-275.7;16.7
Nov 19;736.1;-275.7;16.7
Dec-19;733.1;-275.7;19.7
Jan 20;433.3;-275.7;15.9
Feb 20;433.3;-431;40.2
Mar-20;455.3;-1086.1;24.4
Apr 20;2050.7;-1086.1;23.6
May-20;1808.4;-1086.1;23.6
Jun 20;1808.4;-1086.1;23.6
Jul 20;1808.4;-1086.1;23.6
Aug 20;1808.4;-1086.1;24.8
Sep 20;1808.4;-1086.1;24.8
Oct-20;1808.4;-1086.1;24.8
Nov 20;1930.8;-1206.5;24.8
Dec-20;1936.8;-1206.5;-20.6
Jan 21;1911.8;-1206.5;-4.8
Feb 21;1911.8;-1206.5;-4.8
Mar-21;1882.4;-1206.5;22.7
Apr 21;1876.4;-1206.5;22.7
May-21;1876.4;-1206.5;17.6
Jun 21;1889.9;-1206.5;17.6
Jul 21;1889.6;-1206.5;17.6
Aug 21;1885.4;-1206.5;17.6
Sep 21;1885.4;-1206.5;17.6
Oct-21;1885.4;-1206.5;17.6
Nov 21;1885.4;-1206.5;17.6
Dec-21;1860.1;-1206.5;17.6
Jan 22;1860.4;-1206.5;35.6
Feb 22;1860.4;-1206.5;90.2
Mar-22;1871.9;-1206.5;89.9
Apr 22;1869.9;-1206.5;88.7
May-22;1869.6;-1206.5;88.7
Jun 22;1869.6;-1206.5;88.7
Jul 22;1875.1;-1206.5;8.2
Aug 22;1880.1;-1206.5;8.2
Sep 22;1880.1;-1206.5;8.2
Oct-22;1880.1;-1206.5;8.2
Nov 22;1880.1;-1206.5;-24.4
Dec-22;1880.1;-1206.5;-24.4
Jan 23;1885.3;-1206.5;-23.8
Feb 23;1840.1;-1206.5;-24.2
Mar-23;1850.1;-1206.5;-24
