"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2023/01/01 00:00:00","EST","CAPITL","61757","37.7","0.98","-16.8","1"
"2023/01/01 00:00:00","EST","CENTRL","61754","21.88","-0.04","-2","1"
"2023/01/01 00:00:00","EST","DUNWOD","61760","33.22","1.47","-11.82","1"
"2023/01/01 00:00:00","EST","GENESE","61753","21.14","-0.42","-1.63","1"
"2023/01/01 00:00:00","EST","H Q","61844","19.63","-0.3","0","1"
"2023/01/01 00:00:00","EST","HUD VL","61758","32.88","1.28","-11.68","1"
"2023/01/01 00:00:00","EST","LONGIL","61762","40.8","2.01","-18.86","1"
"2023/01/01 00:00:00","EST","MHK VL","61756","22.25","0.5","-1.83","1"
"2023/01/01 00:00:00","EST","MILLWD","61759","33.23","1.39","-11.91","1"
"2023/01/01 00:00:00","EST","N.Y.C.","61761","33.29","1.53","-11.83","1"
"2023/01/01 00:00:00","EST","NORTH","61755","19.64","-0.28","0","1"
"2023/01/01 00:00:00","EST","NPX","61845","35.37","1.2","-14.25","1"
"2023/01/01 00:00:00","EST","O H","61846","20.9","-0.92","-1.89","1"
"2023/01/01 00:00:00","EST","PJM","61847","26.94","0.24","-6.78","1"
"2023/01/01 00:00:00","EST","WEST","61752","21.23","-0.74","-2.05","1"
"2023/01/01 01:00:00","EST","CAPITL","61757","33.83","0.9","-14.18","1"
"2023/01/01 01:00:00","EST","CENTRL","61754","20.4","-0.04","-1.69","1"
"2023/01/01 01:00:00","EST","DUNWOD","61760","30.11","1.39","-9.98","1"
"2023/01/01 01:00:00","EST","GENESE","61753","19.73","-0.39","-1.38","1"
"2023/01/01 01:00:00","EST","H Q","61844","18.46","-0.28","0","1"
"2023/01/01 01:00:00","EST","HUD VL","61758","29.79","1.18","-9.86","1"
"2023/01/01 01:00:00","EST","LONGIL","61762","37.26","1.87","-16.64","1"
"2023/01/01 01:00:00","EST","MHK VL","61756","20.78","0.49","-1.55","1"
"2023/01/01 01:00:00","EST","MILLWD","61759","30.09","1.29","-10.06","1"
"2023/01/01 01:00:00","EST","N.Y.C.","61761","30.18","1.44","-9.99","1"
"2023/01/01 01:00:00","EST","NORTH","61755","18.52","-0.22","0","1"
"2023/01/01 01:00:00","EST","NPX","61845","31.9","1.12","-12.03","1"
"2023/01/01 01:00:00","EST","O H","61846","19.5","-0.84","-1.6","1"
"2023/01/01 01:00:00","EST","PJM","61847","24.7","0.23","-5.72","1"
"2023/01/01 01:00:00","EST","WEST","61752","19.78","-0.69","-1.73","1"
"2023/01/01 02:00:00","EST","CAPITL","61757","34.18","0.79","-16.91","1"
"2023/01/01 02:00:00","EST","CENTRL","61754","18.44","-0.05","-2.01","1"
"2023/01/01 02:00:00","EST","DUNWOD","61760","29.6","1.22","-11.9","1"
"2023/01/01 02:00:00","EST","GENESE","61753","17.78","-0.35","-1.65","1"
"2023/01/01 02:00:00","EST","H Q","61844","16.21","-0.26","0","1"
"2023/01/01 02:00:00","EST","HUD VL","61758","29.29","1.06","-11.76","1"
"2023/01/01 02:00:00","EST","LONGIL","61762","33.57","1.76","-15.33","1"
"2023/01/01 02:00:00","EST","MHK VL","61756","18.73","0.41","-1.84","1"
"2023/01/01 02:00:00","EST","MILLWD","61759","29.64","1.17","-11.99","1"
"2023/01/01 02:00:00","EST","N.Y.C.","61761","29.68","1.29","-11.91","1"
"2023/01/01 02:00:00","EST","NORTH","61755","16.23","-0.25","0","1"
"2023/01/01 02:00:00","EST","NPX","61845","31.83","1.01","-14.34","1"
"2023/01/01 02:00:00","EST","O H","61846","17.64","-0.74","-1.91","1"
"2023/01/01 02:00:00","EST","PJM","61847","23.53","0.23","-6.83","1"
"2023/01/01 02:00:00","EST","WEST","61752","17.93","-0.61","-2.06","1"
"2023/01/01 03:00:00","EST","CAPITL","61757","33.9","0.74","-17.63","1"
"2023/01/01 03:00:00","EST","CENTRL","61754","17.59","-0.03","-2.1","1"
"2023/01/01 03:00:00","EST","DUNWOD","61760","29.12","1.2","-12.41","1"
"2023/01/01 03:00:00","EST","GENESE","61753","16.91","-0.33","-1.72","1"
"2023/01/01 03:00:00","EST","H Q","61844","15.27","-0.25","0","1"
"2023/01/01 03:00:00","EST","HUD VL","61758","28.79","1.01","-12.26","1"
"2023/01/01 03:00:00","EST","LONGIL","61762","32.82","1.68","-15.62","1"
"2023/01/01 03:00:00","EST","MHK VL","61756","17.8","0.36","-1.92","1"
"2023/01/01 03:00:00","EST","MILLWD","61759","29.14","1.12","-12.5","1"
"2023/01/01 03:00:00","EST","N.Y.C.","61761","29.2","1.26","-12.42","1"
"2023/01/01 03:00:00","EST","NORTH","61755","15.27","-0.25","0","1"
"2023/01/01 03:00:00","EST","NPX","61845","31.42","0.95","-14.95","1"
"2023/01/01 03:00:00","EST","O H","61846","16.86","-0.65","-1.99","1"
"2023/01/01 03:00:00","EST","PJM","61847","22.9","0.26","-7.12","1"
"2023/01/01 03:00:00","EST","WEST","61752","17.16","-0.51","-2.15","1"
"2023/01/01 04:00:00","EST","CAPITL","61757","33.56","0.79","-16.25","1"
"2023/01/01 04:00:00","EST","CENTRL","61754","18.47","0.02","-1.93","1"
