Date,United States : coal dollars per million Btu,United States : bituminous coal dollars per million Btu,United States : subbituminous coal dollars per million Btu,United States : lignite coal dollars per million Btu,United States : petroleum liquids dollars per million Btu,United States : petroleum coke dollars per million Btu,United States : natural gas dollars per million Btu
01/01/2008,1.88,2.2,1.55,1.33,14.61,1.62,8.19
01/02/2008,1.89,2.22,1.55,1.37,15.03,1.82,8.58
01/03/2008,1.93,2.25,1.57,1.38,14.67,1.82,9.25
01/04/2008,1.97,2.33,1.57,1.42,14.65,1.79,9.89
01/05/2008,2.04,2.41,1.63,1.37,17.13,1.96,10.73
01/06/2008,2.08,2.47,1.64,1.39,18.34,2.01,12.04
01/07/2008,2.1,2.59,1.64,1.35,20.08,1.96,11.51
01/08/2008,2.18,2.7,1.64,1.41,19.33,2.75,8.79
01/09/2008,2.19,2.73,1.66,1.45,16.64,2.49,7.68
01/10/2008,2.21,2.72,1.67,1.44,15.55,2.39,6.69
01/11/2008,2.17,2.71,1.63,1.49,11.69,2.38,6.45
01/12/2008,2.16,2.69,1.62,1.47,8.35,2.3,6.68
01/01/2009,2.23,2.78,1.7,1.49,8.12,2.06,6.38
01/02/2009,2.27,2.83,1.67,1.48,8.08,1.82,5.38
01/03/2009,2.29,2.8,1.67,1.5,8.27,1.63,4.73
01/04/2009,2.22,2.74,1.64,1.49,9.12,1.2,4.48
01/05/2009,2.23,2.78,1.64,1.55,9.36,1.68,4.47
01/06/2009,2.22,2.74,1.63,1.58,10.58,1.58,4.44
01/07/2009,2.19,2.78,1.62,1.54,11.36,1.63,4.32
01/08/2009,2.21,2.75,1.63,1.57,12.17,1.81,4.15
01/09/2009,2.18,2.72,1.62,1.76,13.31,1.36,3.84
01/10/2009,2.17,2.71,1.62,1.68,12.86,1.55,4.82
01/11/2009,2.13,2.67,1.61,1.67,12.78,1.3,4.87
01/12/2009,2.14,2.7,1.6,1.75,13.22,1.61,5.96
01/01/2010,2.23,2.75,1.71,1.63,13.38,1.72,6.71
01/02/2010,2.27,2.8,1.71,1.76,13.6,1.8,6.07
01/03/2010,2.31,2.85,1.74,1.67,13.85,2.09,5.29
01/04/2010,2.29,2.81,1.73,1.95,14.82,2.18,4.71
01/05/2010,2.26,2.79,1.74,1.62,13.77,2.22,4.79
01/06/2010,2.25,2.8,1.71,1.59,13.3,2.15,5.12
01/07/2010,2.27,2.86,1.75,1.52,13.33,2.42,5.18
01/08/2010,2.3,2.85,1.75,1.5,13.29,2.65,4.92
01/09/2010,2.28,2.84,1.75,1.49,13.41,2.67,4.45
01/10/2010,2.27,2.83,1.74,1.51,14.93,2.43,4.3
01/11/2010,2.26,2.8,1.73,1.6,15.77,2.22,4.35
01/12/2010,2.23,2.78,1.74,1.75,16.45,2.57,5.43
01/01/2011,2.33,W,W,W,16.79,3.13,5.39
01/02/2011,2.35,W,W,W,17.98,2.84,5.09
01/03/2011,2.34,W,W,W,19.48,3.09,4.64
01/04/2011,2.38,W,W,W,20.17,3.2,4.86
01/05/2011,2.43,W,W,W,19.03,3.31,4.89
01/06/2011,2.4,W,W,W,21.43,2.78,5.04
01/07/2011,2.44,W,W,W,21.34,3.3,4.98
01/08/2011,2.47,W,W,W,19.26,3.08,4.73
01/09/2011,2.44,W,W,W,20.88,2.93,4.56
01/10/2011,2.39,W,W,W,20.99,3.32,4.33
01/11/2011,2.37,W,W,W,21.12,2.58,4.1
01/12/2011,2.34,W,W,W,21.73,2.74,4.04
01/01/2012,2.37,W,W,W,21.66,2.43,3.69
01/02/2012,2.38,W,W,W,22.16,2.3,3.34
01/03/2012,2.39,W,W,W,22.29,1.9,2.99
01/04/2012,2.42,W,W,W,23.58,2.11,2.71
01/05/2012,2.42,W,W,W,23.02,2.57,2.94
01/06/2012,2.36,W,W,W,22.01,2.32,3.11
01/07/2012,2.4,W,W,W,20.43,2.41,3.43
01/08/2012,2.4,W,W,W,21.12,2.45,3.5
01/09/2012,2.38,W,W,W,21.91,2.39,3.41
01/10/2012,2.36,W,W,W,22.23,2,3.84
01/11/2012,2.36,W,W,W,22.3,2.05,4.25
01/12/2012,2.36,W,W,W,20.63,2.06,4.21
