Date,NYCA,GHIJ,NYC,LI
May-23,4.90,5.24,17.75,7.05
Apr-23,1.00,1.10,1.10,1.65
Mar-23,2.17,2.17,2.17,2.17
Feb-23,4.00,4.00,4.00,4.00
Jan-23,2.69,2.69,2.69,2.87
Dec-22,1.80,1.80,1.80,1.88
Nov-22,1.15,1.22,1.39,1.19
Oct-22,2.94,3.21,3.21,6.40
Sep-22,3.19,3.42,3.42,6.50
Aug-22,3.25,3.35,3.41,6.50
Jul-22,3.22,3.40,3.55,6.01
Jun-22,3.00,3.60,3.70,5.89
May-22,3.30,4.40,5.09,4.05
Apr-22,1.00,1.00,1.00,1.99
Mar-22,2.35,2.35,2.35,2.80
Feb-22,3.70,3.70,3.70,3.75
Jan-22,3.17,3.17,3.17,3.50
Dec-21,1.88,1.88,1.88,2.13
Nov-21,1.21,1.21,1.51,3.32
Oct-21,4.54,4.54,4.95,9.00
Sep-21,5.10,5.20,5.26,9.50
Aug-21,5.25,5.25,5.27,9.10
Jul-21,5.23,5.23,5.32,8.81
Jun-21,5.40,5.40,5.43,7.95
May-21,4.49,4.54,5.49,6.20
Apr-21,0.55,0.70,8.70,0.55
Mar-21,0.25,0.36,8.75,0.25
Feb-21,0.11,0.13,8.65,0.11
Jan-21,0.14,0.15,8.54,0.14
Dec-20,0.15,0.16,8.50,0.15
Nov-20,0.15,0.23,8.05,0.15
Oct-20,2.20,2.20,18.60,5.10
Sep-20,2.41,2.41,18.68,5.10
Aug-20,2.58,2.58,19.00,5.10
Jul-20,3.15,3.15,19.14,5.70
Jun-20,2.93,2.93,19.10,5.70
May-20,3.69,3.69,18.58,4.85
Apr-20,0.06,0.07,3.67,0.08
Mar-20,0.10,0.11,3.69,0.10
Feb-20,0.12,0.15,3.60,0.15
Jan-20,0.14,0.15,3.94,0.14
Dec-19,0.14,0.28,4.00,0.14
Nov-19,0.17,0.75,3.09,0.30
Oct-19,1.13,4.81,13.20,5.50
Sep-19,1.30,4.78,13.25,5.50
Aug-19,1.35,4.95,13.45,5.90
Jul-19,1.48,5.25,13.65,5.80
Jun-19,1.50,5.33,13.82,5.80
May-19,1.30,4.64,13.04,5.00
Apr-19,0.40,1.54,1.54,0.40
Mar-19,0.29,1.55,1.55,0.45
Feb-19,0.15,1.60,1.60,0.75
Jan-19,0.12,1.70,1.70,0.95
Dec-18,0.11,1.85,1.85,0.70
Nov-18,0.30,2.94,2.95,0.93
Oct-18,2.50,8.31,8.31,6.55
Sep-18,3.25,10.12,10.12,6.60
Aug-18,3.73,8.75,8.75,6.60
Jul-18,3.50,9.72,9.72,6.75
Jun-18,2.60,11.00,11.00,6.56
May-18,1.90,11.62,11.62,6.10
Apr-18,0.10,2.99,2.99,0.65
Mar-18,0.15,2.99,2.99,0.60
Feb-18,0.25,3.08,3.08,0.50
Jan-18,0.25,3.35,3.37,0.60
Dec-17,0.30,3.40,3.40,0.80
Nov-17,0.31,3.22,3.22,0.31
Oct-17,1.85,9.68,9.90,6.43
Sep-17,2.09,9.67,9.85,6.55
Aug-17,2.24,9.73,9.90,6.68
Jul-17,3.15,9.94,10.25,6.55
Jun-17,2.41,10.25,10.55,6.50
May-17,3.15,10.50,11.83,5.75
Apr-17,0.25,3.24,3.24,0.30
Mar-17,0.20,3.14,3.46,0.20
Feb-17,0.39,3.40,3.50,0.60
Jan-17,0.85,3.50,3.59,0.97
Dec-16,0.80,3.45,3.65,0.81
Nov-16,0.49,3.50,3.50,0.50
Oct-16,2.84,9.10,12.15,4.19
Sep-16,3.41,9.14,12.14,4.20
Aug-16,4.15,9.25,12.18,4.35
Jul-16,4.70,9.27,12.27,4.75
Jun-16,5.15,9.36,12.38,5.15
May-16,3.83,8.40,11.15,4.00
Apr-16,0.40,3.16,5.95,1.40
Mar-16,0.60,3.16,6.04,1.50
Feb-16,1.34,3.20,6.10,1.50
Jan-16,1.65,3.44,6.24,1.80
Dec-15,1.25,3.47,6.40,1.80
Nov-15,0.66,3.78,6.65,1.55
Oct-15,3.09,8.39,15.32,5.60
Sep-15,3.50,8.36,15.36,5.74
Aug-15,3.91,8.34,15.40,5.67
Jul-15,4.70,10.34,15.35,5.67
Jun-15,4.21,10.74,15.66,5.74
May-15,3.96,10.50,15.61,5.30
Apr-15,0.45,2.89,7.25,2.77
Mar-15,1.80,3.97,8.70,2.90
Feb-15,2.60,3.76,8.74,3.15
Jan-15,3.61,4.44,8.82,3.61
Dec-14,2.56,5.45,8.89,2.95
Nov-14,2.24,6.62,8.69,2.85
Oct-14,5.49,11.89,18.19,6.40
Sep-14,5.75,12.10,18.37,6.40
Aug-14,5.95,12.25,18.47,6.40
Jul-14,6.21,12.25,18.71,6.40
Jun-14,6.60,12.24,18.72,6.68
May-14,5.50,10.33,16.54,6.20
